trial,operation,requests,rps
1,lpush5,1000000,614697.00
1,lrange5,1000000,1274007.62
2,lpush5,1000000,836173.94
2,lrange5,1000000,1283840.88
3,lpush5,1000000,829227.19
3,lrange5,1000000,1290363.88
4,lpush5,1000000,829888.75
4,lrange5,1000000,1082406.88
5,lpush5,1000000,827143.12
5,lrange5,1000000,1182373.50
6,lpush5,1000000,837628.12
6,lrange5,1000000,1259466.00
7,lpush5,1000000,832053.25
7,lrange5,1000000,1283758.75
8,lpush5,1000000,836940.56
8,lrange5,1000000,1288680.38
9,lpush5,1000000,836994.12
9,lrange5,1000000,1292010.38
10,lpush5,1000000,838290.06
10,lrange5,1000000,1247022.50
11,lpush5,1000000,835528.81
11,lrange5,1000000,1254745.25
12,lpush5,1000000,831281.81
12,lrange5,1000000,1228540.50
13,lpush5,1000000,835448.62
13,lrange5,1000000,1196382.75
14,lpush5,1000000,841177.44
14,lrange5,1000000,1303885.25
15,lpush5,1000000,834095.06
15,lrange5,1000000,1307273.25
16,lpush5,1000000,836913.75
16,lrange5,1000000,1303822.62
17,lpush5,1000000,827867.56
17,lrange5,1000000,1293847.38
18,lpush5,1000000,839087.25
18,lrange5,1000000,1282215.38
19,lpush5,1000000,828619.69
19,lrange5,1000000,1282112.88
20,lpush5,1000000,835555.56
20,lrange5,1000000,1305483.12
21,lpush5,1000000,841056.31
21,lrange5,1000000,1285347.00
22,lpush5,1000000,832146.44
22,lrange5,1000000,1300390.12
23,lpush5,1000000,840389.88
23,lrange5,1000000,1273966.88
24,lpush5,1000000,836940.56
24,lrange5,1000000,1282071.88
25,lpush5,1000000,825988.44
25,lrange5,1000000,1180807.50
26,lpush5,1000000,839684.31
26,lrange5,1000000,1298784.50
27,lpush5,1000000,832732.75
27,lrange5,1000000,1288680.38
28,lpush5,1000000,821057.44
28,lrange5,1000000,1237623.75
29,lpush5,1000000,832719.44
29,lrange5,1000000,1298888.38
30,lpush5,1000000,831361.62
30,lrange5,1000000,1297058.38
31,lpush5,1000000,837534.31
31,lrange5,1000000,1302125.00
32,lpush5,1000000,834041.69
32,lrange5,1000000,1288721.62
33,lpush5,1000000,833439.94
33,lrange5,1000000,1251584.50
34,lpush5,1000000,843224.31
34,lrange5,1000000,1248559.25
35,lpush5,1000000,838276.62
35,lrange5,1000000,1282215.38
36,lpush5,1000000,834737.94
36,lrange5,1000000,1302083.38
37,lpush5,1000000,836334.44
37,lrange5,1000000,1254805.50
38,lpush5,1000000,832759.38
