trial,operation,requests,rps
1,lpush5,1000000,833399.94
1,lrange5,1000000,1030096.81
2,lpush5,1000000,829320.06
2,lrange5,1000000,1194972.50
3,lpush5,1000000,823097.94
3,lrange5,1000000,1280491.62
4,lpush5,1000000,834791.38
4,lrange5,1000000,1283840.88
5,lpush5,1000000,829200.69
5,lrange5,1000000,1282112.88
6,lpush5,1000000,844702.69
6,lrange5,1000000,1254725.25
7,lpush5,1000000,829359.88
7,lrange5,1000000,1242414.88
8,lpush5,1000000,834737.94
8,lrange5,1000000,1272325.62
9,lpush5,1000000,831308.44
9,lrange5,1000000,1288762.88
10,lpush5,1000000,829187.44
10,lrange5,1000000,1287042.50
11,lpush5,1000000,831946.75
11,lrange5,1000000,1040732.56
12,lpush5,1000000,841885.56
12,lrange5,1000000,1192104.88
13,lpush5,1000000,841164.00
13,lrange5,1000000,1280655.50
14,lpush5,1000000,834041.69
14,lrange5,1000000,1259506.25
15,lpush5,1000000,835609.00
15,lrange5,1000000,1196612.38
16,lpush5,1000000,830604.62
16,lrange5,1000000,1292134.38
17,lpush5,1000000,828513.69
17,lrange5,1000000,1203773.75
18,lpush5,1000000,831255.25
18,lrange5,1000000,861422.88
19,lpush5,1000000,833346.62
19,lrange5,1000000,1234607.38
20,lpush5,1000000,843237.81
20,lrange5,1000000,1282051.38
21,lpush5,1000000,831454.75
21,lrange5,1000000,1273926.12
22,lpush5,1000000,834188.50
22,lrange5,1000000,1261094.62
23,lpush5,1000000,819816.38
23,lrange5,1000000,1295544.00
24,lpush5,1000000,829875.50
24,lrange5,1000000,1283697.12
25,lpush5,1000000,825201.31
25,lrange5,1000000,1275510.25
26,lpush5,1000000,835421.88
26,lrange5,1000000,1201923.00
27,lpush5,1000000,832013.31
27,lrange5,1000000,1288701.00
28,lpush5,1000000,834778.00
28,lrange5,1000000,1282236.00
29,lpush5,1000000,833333.31
29,lrange5,1000000,1285491.00
30,lpush5,1000000,835475.31
30,lrange5,1000000,1292155.00
31,lpush5,1000000,823045.25
31,lrange5,1000000,1292072.38
32,lpush5,1000000,824534.19
32,lrange5,1000000,1288680.38
33,lpush5,1000000,831268.50
33,lrange5,1000000,1297016.88
34,lpush5,1000000,836240.81
34,lrange5,1000000,1282112.88
35,lpush5,1000000,827867.56
35,lrange5,1000000,1277180.12
36,lpush5,1000000,830564.81
36,lrange5,1000000,1280553.12
37,lpush5,1000000,834041.69
37,lrange5,1000000,1265964.50
38,lpush5,1000000,832679.44
38,lrange5,1000000,1282133.38
39,lpush5,1000000,834188.50
39,lrange5,1000000,1293702.50
40,lpush5,1000000,824507.81
40,lrange5,1000000,1206311.25
41,lpush5,1000000,824402.25
41,lrange5,1000000,1248439.50
42,lpush5,1000000,830764.12
42,lrange5,1000000,1193603.88
43,lpush5,1000000,834844.75
43,lrange5,1000000,1282112.88
44,lpush5,1000000,841804.75
44,lrange5,1000000,1275571.50
45,lpush5,1000000,837654.94
45,lrange5,1000000,1250100.00
46,lpush5,1000000,826552.06
46,lrange5,1000000,1272305.38
47,lpush5,1000000,830578.06
47,lrange5,1000000,1206369.12
48,lpush5,1000000,835542.19
48,lrange5,1000000,1257982.38
49,lpush5,1000000,832013.31
49,lrange5,1000000,1245469.50
50,lpush5,1000000,830021.56
50,lrange5,1000000,1285429.25
51,lpush5,1000000,829213.94
51,lrange5,1000000,1273926.12
52,lpush5,1000000,825909.19
52,lrange5,1000000,1261034.12
53,lpush5,1000000,841939.44
53,lrange5,1000000,1283902.50
54,lpush5,1000000,827867.56
54,lrange5,1000000,1283840.88
55,lpush5,1000000,827143.12
55,lrange5,1000000,1205050.62
56,lpush5,1000000,825188.12
56,lrange5,1000000,1290322.62
57,lpush5,1000000,831308.44
57,lrange5,1000000,1195068.12
58,lpush5,1000000,823802.31
58,lrange5,1000000,1277343.62
59,lpush5,1000000,828699.25
59,lrange5,1000000,1292155.00
60,lpush5,1000000,832212.94
60,lrange5,1000000,1273966.88
61,lpush5,1000000,824613.31
61,lrange5,1000000,1288659.75
62,lpush5,1000000,827827.88
62,lrange5,1000000,1274048.38
63,lpush5,1000000,834201.81
63,lrange5,1000000,1200633.88
64,lpush5,1000000,826459.50
64,lrange5,1000000,1292031.00
65,lpush5,1000000,828000.06
65,lrange5,1000000,1264384.25
66,lpush5,1000000,829187.44
66,lrange5,1000000,1290363.88
67,lpush5,1000000,815726.00
