trial,operation,requests,rps
1,lpush5,1000000,625912.38
1,lrange5,1000000,1277343.62
2,lpush5,1000000,816993.50
2,lrange5,1000000,1251744.62
3,lpush5,1000000,829968.44
3,lrange5,1000000,1285367.62
4,lpush5,1000000,819000.88
4,lrange5,1000000,1290322.62
5,lpush5,1000000,828712.50
5,lrange5,1000000,1295440.38
6,lpush5,1000000,823723.25
6,lrange5,1000000,1273926.12
7,lpush5,1000000,823097.94
7,lrange5,1000000,1283840.88
8,lpush5,1000000,827182.81
8,lrange5,1000000,1295336.75
9,lpush5,1000000,836160.56
9,lrange5,1000000,1293702.50
10,lpush5,1000000,834871.50
10,lrange5,1000000,1297182.88
11,lpush5,1000000,835528.81
11,lrange5,1000000,1297120.62
12,lpush5,1000000,824441.81
12,lrange5,1000000,1190857.12
13,lpush5,1000000,835595.62
13,lrange5,1000000,1197853.88
14,lpush5,1000000,822486.88
14,lrange5,1000000,1293743.88
15,lpush5,1000000,837708.56
15,lrange5,1000000,1202250.00
16,lpush5,1000000,831308.44
16,lrange5,1000000,974658.88
17,lpush5,1000000,830578.06
17,lrange5,1000000,1264222.50
18,lpush5,1000000,826446.25
18,lrange5,1000000,1278915.62
19,lpush5,1000000,831308.44
19,lrange5,1000000,1224049.00
20,lpush5,1000000,835528.81
20,lrange5,1000000,1287227.75
21,lpush5,1000000,825816.69
21,lrange5,1000000,1234587.62
22,lpush5,1000000,829333.38
22,lrange5,1000000,1292031.00
23,lpush5,1000000,839630.56
23,lrange5,1000000,1278813.25
24,lpush5,1000000,819777.00
24,lrange5,1000000,1293847.38
25,lpush5,1000000,833359.94
25,lrange5,1000000,1269035.50
26,lpush5,1000000,827235.75
26,lrange5,1000000,1293723.12
27,lpush5,1000000,841925.94
27,lrange5,1000000,1287063.00
28,lpush5,1000000,838926.12
28,lrange5,1000000,1297120.62
29,lpush5,1000000,826671.06
29,lrange5,1000000,1290343.25
30,lpush5,1000000,826657.81
30,lrange5,1000000,1277343.62
31,lpush5,1000000,824521.00
31,lrange5,1000000,1193317.38
32,lpush5,1000000,831428.12
32,lrange5,1000000,1273946.50
33,lpush5,1000000,837534.31
33,lrange5,1000000,1265883.50
34,lpush5,1000000,825975.25
34,lrange5,1000000,1277343.62
35,lpush5,1000000,824468.25
35,lrange5,1000000,1290467.12
36,lpush5,1000000,835488.69
36,lrange5,1000000,1295440.38
37,lpush5,1000000,835421.88
37,lrange5,1000000,1290384.50
38,lpush5,1000000,821692.69
38,lrange5,1000000,1272407.12
39,lpush5,1000000,828672.75
39,lrange5,1000000,1290343.25
40,lpush5,1000000,831268.50
40,lrange5,1000000,1275673.50
41,lpush5,1000000,825869.56
41,lrange5,1000000,1264404.50
42,lpush5,1000000,835595.62
42,lrange5,1000000,1295378.25
43,lpush5,1000000,825122.12
43,lrange5,1000000,1248599.25
44,lpush5,1000000,828566.69
44,lrange5,1000000,1189346.00
45,lpush5,1000000,832639.50
45,lrange5,1000000,1187781.50
46,lpush5,1000000,836873.62
46,lrange5,1000000,1277200.50
47,lpush5,1000000,837668.31
47,lrange5,1000000,1283779.25
48,lpush5,1000000,830617.94
48,lrange5,1000000,1272325.62
49,lpush5,1000000,834081.75
49,lrange5,1000000,1264404.50
50,lpush5,1000000,827814.62
50,lrange5,1000000,1280409.75
51,lpush5,1000000,835595.62
51,lrange5,1000000,1295378.25
52,lpush5,1000000,827143.12
52,lrange5,1000000,1245449.62
53,lpush5,1000000,758344.19
53,lrange5,1000000,1272447.88
54,lpush5,1000000,835568.88
54,lrange5,1000000,1259445.75
55,lpush5,1000000,827196.06
55,lrange5,1000000,1264303.38
56,lpush5,1000000,834148.44
56,lrange5,1000000,1290363.88
57,lpush5,1000000,831308.44
57,lrange5,1000000,1293681.75
58,lpush5,1000000,830684.38
58,lrange5,1000000,1290446.50
59,lpush5,1000000,832026.62
59,lrange5,1000000,1292237.75
60,lpush5,1000000,833359.94
60,lrange5,1000000,1199117.50
61,lpush5,1000000,822434.25
61,lrange5,1000000,1206311.25
62,lpush5,1000000,836900.38
62,lrange5,1000000,1177969.38
63,lpush5,1000000,826671.06
63,lrange5,1000000,1108665.12
64,lpush5,1000000,576129.06
64,lrange5,1000000,1200557.00
65,lpush5,1000000,829928.62
65,lrange5,1000000,1278792.88
66,lpush5,1000000,821188.81
66,lrange5,1000000,1277241.38
67,lpush5,1000000,829306.81
67,lrange5,1000000,1189155.75
68,lpush5,1000000,823815.50
68,lrange5,1000000,1292134.38
69,lpush5,1000000,822513.19
69,lrange5,1000000,1277302.75
70,lpush5,1000000,825869.56
70,lrange5,1000000,1233242.88
71,lpush5,1000000,832013.31
71,lrange5,1000000,1290467.12
72,lpush5,1000000,831268.50
72,lrange5,1000000,1261256.00
73,lpush5,1000000,834724.56
73,lrange5,1000000,1259667.50
74,lpush5,1000000,841164.00
74,lrange5,1000000,768172.00
75,lpush5,1000000,535357.56
75,lrange5,1000000,1245509.38
76,lpush5,1000000,819066.38
76,lrange5,1000000,1290425.88
77,lpush5,1000000,819829.50
77,lrange5,1000000,1192143.00
78,lpush5,1000000,825306.94
78,lrange5,1000000,1250000.00
79,lpush5,1000000,826459.50
79,lrange5,1000000,1264364.12
80,lpush5,1000000,823216.44
80,lrange5,1000000,1285429.25
81,lpush5,1000000,832799.38
81,lrange5,1000000,1285367.62
82,lpush5,1000000,827880.81
82,lrange5,1000000,1285388.12
83,lpush5,1000000,827986.81
83,lrange5,1000000,1290405.25
84,lpush5,1000000,831414.81
84,lrange5,1000000,1287124.88
85,lpush5,1000000,769378.50
85,lrange5,1000000,1203639.00
86,lpush5,1000000,829200.69
86,lrange5,1000000,1285388.12
87,lpush5,1000000,832000.00
87,lrange5,1000000,1288783.50
88,lpush5,1000000,833346.62
88,lrange5,1000000,1246902.75
89,lpush5,1000000,823775.94
89,lrange5,1000000,1197777.25
90,lpush5,1000000,827841.12
90,lrange5,1000000,1251664.50
91,lpush5,1000000,841164.00
91,lrange5,1000000,1199232.62
92,lpush5,1000000,821031.19
92,lrange5,1000000,1192314.62
93,lpush5,1000000,833386.62
93,lrange5,1000000,1240694.75
94,lpush5,1000000,836200.69
94,lrange5,1000000,1288804.12
95,lpush5,1000000,836927.19
95,lrange5,1000000,863571.69
96,lpush5,1000000,824547.38
96,lrange5,1000000,1259727.88
97,lpush5,1000000,831401.50
97,lrange5,1000000,1280450.62
98,lpush5,1000000,834215.19
98,lrange5,1000000,1254865.75
99,lpush5,1000000,837601.31
99,lrange5,1000000,1292051.75
100,lpush5,1000000,830617.94
100,lrange5,1000000,1273987.25
101,lpush5,1000000,828500.38
101,lrange5,1000000,1272305.38
102,lpush5,1000000,831255.25
102,lrange5,1000000,1290467.12
103,lpush5,1000000,830578.06
103,lrange5,1000000,1282112.88
104,lpush5,1000000,835635.75
104,lrange5,1000000,1180788.62
105,lpush5,1000000,823723.25
105,lrange5,1000000,1189212.88
106,lpush5,1000000,824534.19
106,lrange5,1000000,1200768.25
107,lpush5,1000000,830591.38
107,lrange5,1000000,1240893.25
108,lpush5,1000000,827867.56
108,lrange5,1000000,1254865.75
109,lpush5,1000000,828553.44
109,lrange5,1000000,1081167.50
110,lpush5,1000000,832053.25
110,lrange5,1000000,1202365.38
111,lpush5,1000000,825988.44
111,lrange5,1000000,1199136.75
112,lpush5,1000000,824547.38
112,lrange5,1000000,1295357.50
113,lpush5,1000000,832826.00
113,lrange5,1000000,1290405.25
114,lpush5,1000000,829200.69
114,lrange5,1000000,1247082.38
115,lpush5,1000000,841952.88
115,lrange5,1000000,1088348.12
116,lpush5,1000000,832865.94
116,lrange5,1000000,1242315.50
117,lpush5,1000000,828513.69
117,lrange5,1000000,1261256.00
118,lpush5,1000000,823934.12
118,lrange5,1000000,1295502.62
119,lpush5,1000000,825763.88
119,lrange5,1000000,1278915.62
120,lpush5,1000000,832119.81
120,lrange5,1000000,1278792.88
121,lpush5,1000000,832066.56
121,lrange5,1000000,1287021.88
122,lpush5,1000000,832093.19
122,lrange5,1000000,1272305.38
123,lpush5,1000000,834951.62
123,lrange5,1000000,1250000.00
124,lpush5,1000000,828712.50
124,lrange5,1000000,1245409.75
125,lpush5,1000000,826499.12
125,lrange5,1000000,1224068.62
126,lpush5,1000000,832826.00
126,lrange5,1000000,1275693.88
127,lpush5,1000000,819829.50
127,lrange5,1000000,1288742.25
128,lpush5,1000000,826578.50
128,lrange5,1000000,1277159.62
129,lpush5,1000000,821070.56
129,lrange5,1000000,1277180.12
130,lpush5,1000000,833346.62
130,lrange5,1000000,1282194.88
131,lpush5,1000000,835555.56
131,lrange5,1000000,1290673.62
132,lpush5,1000000,829267.00
132,lrange5,1000000,1201923.00
133,lpush5,1000000,828513.69
133,lrange5,1000000,1297162.12
134,lpush5,1000000,832053.25
134,lrange5,1000000,1295585.50
135,lpush5,1000000,827341.62
135,lrange5,1000000,1199155.88
136,lpush5,1000000,827867.56
136,lrange5,1000000,1300556.62
137,lpush5,1000000,825948.81
137,lrange5,1000000,1201980.75
138,lpush5,1000000,836254.19
138,lrange5,1000000,1297016.88
139,lpush5,1000000,828000.06
139,lrange5,1000000,1273905.75
140,lpush5,1000000,829227.19
140,lrange5,1000000,1122424.25
141,lpush5,1000000,834791.38
141,lrange5,1000000,1202115.38
142,lpush5,1000000,827235.75
142,lrange5,1000000,1275510.25
143,lpush5,1000000,824455.00
143,lrange5,1000000,1242236.00
144,lpush5,1000000,831268.50
144,lrange5,1000000,1197604.88
145,lpush5,1000000,827867.56
145,lrange5,1000000,1285532.12
146,lpush5,1000000,833359.94
146,lrange5,1000000,1293723.12
147,lpush5,1000000,827854.31
147,lrange5,1000000,1288804.12
148,lpush5,1000000,832812.69
148,lrange5,1000000,1280512.12
149,lpush5,1000000,820462.69
149,lrange5,1000000,1204973.50
150,lpush5,1000000,834764.62
150,lrange5,1000000,1200825.88
151,lpush5,1000000,829306.81
151,lrange5,1000000,1288680.38
152,lpush5,1000000,829240.50
152,lrange5,1000000,1203388.75
153,lpush5,1000000,829227.19
153,lrange5,1000000,1197930.62
154,lpush5,1000000,831960.06
154,lrange5,1000000,1288804.12
155,lpush5,1000000,829240.50
155,lrange5,1000000,1269035.50
156,lpush5,1000000,832000.00
156,lrange5,1000000,1204992.75
157,lpush5,1000000,829941.88
157,lrange5,1000000,1297245.12
158,lpush5,1000000,836820.06
158,lrange5,1000000,1251804.75
159,lpush5,1000000,837007.50
159,lrange5,1000000,1300494.12
160,lpush5,1000000,834804.69
160,lrange5,1000000,1140634.00
161,lpush5,1000000,827960.31
161,lrange5,1000000,1270688.75
162,lpush5,1000000,827867.56
162,lrange5,1000000,1261034.12
163,lpush5,1000000,829968.44
163,lrange5,1000000,1290384.50
164,lpush5,1000000,841952.88
164,lrange5,1000000,1258002.50
165,lpush5,1000000,835528.81
165,lrange5,1000000,1293764.50
166,lpush5,1000000,828619.69
166,lrange5,1000000,1203581.25
167,lpush5,1000000,830021.56
167,lrange5,1000000,1265903.75
168,lpush5,1000000,830578.06
168,lrange5,1000000,1160167.12
169,lpush5,1000000,843413.19
169,lrange5,1000000,1203581.25
170,lpush5,1000000,834028.38
170,lrange5,1000000,1183734.88
171,lpush5,1000000,839644.00
171,lrange5,1000000,1199136.75
172,lpush5,1000000,833426.62
172,lrange5,1000000,1269035.50
173,lpush5,1000000,830750.81
173,lrange5,1000000,1302145.88
174,lpush5,1000000,834884.81
174,lrange5,1000000,1278792.88
175,lpush5,1000000,828739.00
175,lrange5,1000000,1239177.25
176,lpush5,1000000,832119.81
176,lrange5,1000000,1182089.88
177,lpush5,1000000,824402.25
177,lrange5,1000000,1293702.50
178,lpush5,1000000,831308.44
178,lrange5,1000000,1195163.62
179,lpush5,1000000,832000.00
179,lrange5,1000000,1295378.25
180,lpush5,1000000,827960.31
180,lrange5,1000000,1227092.00
181,lpush5,1000000,828699.25
181,lrange5,1000000,1270729.38
182,lpush5,1000000,827814.62
182,lrange5,1000000,1269055.88
183,lpush5,1000000,830564.81
183,lrange5,1000000,1257901.88
184,lpush5,1000000,827301.94
184,lrange5,1000000,1285388.12
185,lpush5,1000000,827814.62
185,lrange5,1000000,1290467.12
186,lpush5,1000000,829955.19
186,lrange5,1000000,1256341.75
187,lpush5,1000000,829915.31
187,lrange5,1000000,1290508.38
188,lpush5,1000000,827947.06
188,lrange5,1000000,1222493.88
189,lpush5,1000000,825254.12
189,lrange5,1000000,1290363.88
190,lpush5,1000000,829333.38
190,lrange5,1000000,1277139.25
191,lpush5,1000000,831973.38
191,lrange5,1000000,1287001.25
192,lpush5,1000000,821070.56
192,lrange5,1000000,1202019.25
193,lpush5,1000000,838966.44
193,lrange5,1000000,1199462.88
194,lpush5,1000000,834831.44
194,lrange5,1000000,1231743.88
195,lpush5,1000000,831255.25
195,lrange5,1000000,1267528.50
196,lpush5,1000000,822368.44
196,lrange5,1000000,1245509.38
197,lpush5,1000000,824494.62
197,lrange5,1000000,1025657.44
198,lpush5,1000000,821797.88
198,lrange5,1000000,1278854.25
199,lpush5,1000000,843962.94
199,lrange5,1000000,1262828.25
200,lpush5,1000000,839684.31
200,lrange5,1000000,1194991.62
201,lpush5,1000000,838966.44
201,lrange5,1000000,1166954.50
202,lpush5,1000000,833493.31
202,lrange5,1000000,1287186.62
203,lpush5,1000000,835462.00
203,lrange5,1000000,1190819.12
204,lpush5,1000000,830048.12
204,lrange5,1000000,1200480.12
205,lpush5,1000000,827275.44
205,lrange5,1000000,1272325.62
206,lpush5,1000000,838343.69
206,lrange5,1000000,1287227.75
207,lpush5,1000000,836160.56
207,lrange5,1000000,1199098.38
208,lpush5,1000000,831268.50
208,lrange5,1000000,1251584.50
209,lpush5,1000000,835448.62
209,lrange5,1000000,1245389.88
210,lpush5,1000000,831308.44
210,lrange5,1000000,1290405.25
211,lpush5,1000000,836940.56
211,lrange5,1000000,1199386.12
212,lpush5,1000000,823203.25
212,lrange5,1000000,1280594.12
213,lpush5,1000000,828500.38
213,lrange5,1000000,1227052.75
214,lpush5,1000000,827328.38
214,lrange5,1000000,1290405.25
215,lpush5,1000000,831973.38
215,lrange5,1000000,1264222.50
216,lpush5,1000000,825135.31
