trial,operation,requests,rps
1,lpush5,1000000,537371.31
1,lrange5,1000000,1172539.25
2,lpush5,1000000,838316.88
2,lrange5,1000000,1202000.00
3,lpush5,1000000,834095.06
3,lrange5,1000000,1265843.00
4,lpush5,1000000,834791.38
4,lrange5,1000000,1287001.25
5,lpush5,1000000,829875.50
5,lrange5,1000000,1206407.75
6,lpush5,1000000,834737.94
6,lrange5,1000000,1166898.50
7,lpush5,1000000,528575.06
7,lrange5,1000000,1186429.38
8,lpush5,1000000,831986.69
8,lrange5,1000000,1282092.38
9,lpush5,1000000,834068.38
9,lrange5,1000000,1240734.50
10,lpush5,1000000,835421.88
10,lrange5,1000000,1250080.00
11,lpush5,1000000,835649.12
11,lrange5,1000000,1253132.88
12,lpush5,1000000,839644.00
12,lrange5,1000000,985237.44
13,lpush5,1000000,828553.44
13,lrange5,1000000,1192276.50
14,lpush5,1000000,839832.06
14,lrange5,1000000,1139225.50
15,lpush5,1000000,836254.19
15,lrange5,1000000,1227033.12
16,lpush5,1000000,840336.12
16,lrange5,1000000,1262626.25
17,lpush5,1000000,838397.38
17,lrange5,1000000,1193661.12
18,lpush5,1000000,767472.00
18,lrange5,1000000,1194743.12
19,lpush5,1000000,847457.69
19,lrange5,1000000,1265822.75
20,lpush5,1000000,782647.88
20,lrange5,1000000,1266005.00
21,lpush5,1000000,840349.56
21,lrange5,1000000,1280430.25
22,lpush5,1000000,839100.62
22,lrange5,1000000,1212218.25
23,lpush5,1000000,837007.50
23,lrange5,1000000,1246922.75
24,lpush5,1000000,833333.31
24,lrange5,1000000,1272264.62
25,lpush5,1000000,838993.25
25,lrange5,1000000,1275591.88
26,lpush5,1000000,835435.25
26,lrange5,1000000,1196535.88
27,lpush5,1000000,846023.69
27,lrange5,1000000,1288659.75
28,lpush5,1000000,832706.12
28,lrange5,1000000,1245350.00
29,lpush5,1000000,838926.12
29,lrange5,1000000,1277282.25
30,lpush5,1000000,828039.75
30,lrange5,1000000,1242395.00
31,lpush5,1000000,839697.75
31,lrange5,1000000,1261215.62
32,lpush5,1000000,829213.94
32,lrange5,1000000,1190609.50
33,lpush5,1000000,843908.88
33,lrange5,1000000,1186334.50
34,lpush5,1000000,842486.94
34,lrange5,1000000,1192257.50
35,lpush5,1000000,841096.69
35,lrange5,1000000,1288742.25
36,lpush5,1000000,836133.81
36,lrange5,1000000,1265822.75
37,lpush5,1000000,831268.50
37,lrange5,1000000,1200595.38
38,lpush5,1000000,835462.00
38,lrange5,1000000,1290467.12
39,lpush5,1000000,835502.06
39,lrange5,1000000,1175351.38
40,lpush5,1000000,836280.94
40,lrange5,1000000,1194819.62
41,lpush5,1000000,830074.69
41,lrange5,1000000,1175238.50
42,lpush5,1000000,838303.44
42,lrange5,1000000,1193412.88
43,lpush5,1000000,837641.56
43,lrange5,1000000,1222493.88
44,lpush5,1000000,837614.75
44,lrange5,1000000,1250000.00
45,lpush5,1000000,837034.25
45,lrange5,1000000,1231724.12
46,lpush5,1000000,831321.75
46,lrange5,1000000,1206369.12
47,lpush5,1000000,838223.00
47,lrange5,1000000,1265843.00
48,lpush5,1000000,840336.12
48,lrange5,1000000,1287186.62
49,lpush5,1000000,848896.44
49,lrange5,1000000,1290343.25
50,lpush5,1000000,834804.69
50,lrange5,1000000,1250180.00
51,lpush5,1000000,840349.56
51,lrange5,1000000,1182468.12
52,lpush5,1000000,829928.62
52,lrange5,1000000,1221040.25
53,lpush5,1000000,832706.12
53,lrange5,1000000,1247002.50
54,lpush5,1000000,836214.06
54,lrange5,1000000,1262686.88
55,lpush5,1000000,842459.94
55,lrange5,1000000,1237683.12
56,lpush5,1000000,838939.56
56,lrange5,1000000,1195087.25
57,lpush5,1000000,830591.38
57,lrange5,1000000,1283758.75
58,lpush5,1000000,833426.62
58,lrange5,1000000,1192162.12
59,lpush5,1000000,836321.06
59,lrange5,1000000,1273885.25
60,lpush5,1000000,839100.62
60,lrange5,1000000,1205012.12
61,lpush5,1000000,836953.94
61,lrange5,1000000,812347.75
62,lpush5,1000000,743060.94
62,lrange5,1000000,1269076.12
63,lpush5,1000000,824573.75
63,lrange5,1000000,1283738.12
64,lpush5,1000000,828619.69
64,lrange5,1000000,1258022.62
65,lpush5,1000000,835435.25
65,lrange5,1000000,1254905.88
66,lpush5,1000000,830737.56
