trial,operation,requests,rps
1,lpush5,1000000,523294.59
1,lrange5,1000000,974674.44
2,lpush5,1000000,830644.50
2,lrange5,1000000,1254946.00
3,lpush5,1000000,826485.94
3,lrange5,1000000,1288701.00
4,lpush5,1000000,828606.44
4,lrange5,1000000,1202153.88
5,lpush5,1000000,828526.94
5,lrange5,1000000,1293785.25
6,lpush5,1000000,831308.44
6,lrange5,1000000,1297120.62
7,lpush5,1000000,829359.88
7,lrange5,1000000,1295357.50
8,lpush5,1000000,829888.75
8,lrange5,1000000,831946.75
9,lpush5,1000000,755299.06
9,lrange5,1000000,1275591.88
10,lpush5,1000000,823934.12
10,lrange5,1000000,1283697.12
11,lpush5,1000000,830061.38
11,lrange5,1000000,1275530.62
12,lpush5,1000000,828579.94
12,lrange5,1000000,1300556.62
13,lpush5,1000000,823855.06
13,lrange5,1000000,1269137.12
14,lpush5,1000000,827169.56
14,lrange5,1000000,1292051.75
15,lpush5,1000000,823907.75
15,lrange5,1000000,1170979.00
16,lpush5,1000000,823828.69
16,lrange5,1000000,1290467.12
17,lpush5,1000000,824468.25
17,lrange5,1000000,1261034.12
18,lpush5,1000000,826472.69
18,lrange5,1000000,1293702.50
19,lpush5,1000000,823894.56
19,lrange5,1000000,1273987.25
20,lpush5,1000000,839644.00
20,lrange5,1000000,1300473.38
21,lpush5,1000000,829915.31
21,lrange5,1000000,1287145.38
22,lpush5,1000000,828593.19
22,lrange5,1000000,1298826.00
23,lpush5,1000000,824547.38
23,lrange5,1000000,1076443.50
24,lpush5,1000000,823124.25
24,lrange5,1000000,1224264.38
25,lpush5,1000000,830087.94
25,lrange5,1000000,1250200.00
26,lpush5,1000000,831401.50
26,lrange5,1000000,1298701.38
27,lpush5,1000000,828593.19
27,lrange5,1000000,1225686.25
28,lpush5,1000000,827880.81
28,lrange5,1000000,1293702.50
29,lpush5,1000000,826446.25
29,lrange5,1000000,1274089.12
30,lpush5,1000000,827249.00
30,lrange5,1000000,1239296.12
31,lpush5,1000000,825095.69
31,lrange5,1000000,1199040.75
32,lpush5,1000000,822539.50
32,lrange5,1000000,1297203.62
33,lpush5,1000000,827827.88
33,lrange5,1000000,1177950.50
34,lpush5,1000000,827169.56
34,lrange5,1000000,1180939.75
35,lpush5,1000000,821850.44
35,lrange5,1000000,1295419.62
36,lpush5,1000000,825135.31
36,lrange5,1000000,1199098.38
37,lpush5,1000000,832692.75
37,lrange5,1000000,1292134.38
38,lpush5,1000000,833559.94
38,lrange5,1000000,1267589.38
39,lpush5,1000000,825240.94
39,lrange5,1000000,1285470.50
40,lpush5,1000000,822592.12
40,lrange5,1000000,1196172.25
41,lpush5,1000000,829346.62
41,lrange5,1000000,1297016.88
42,lpush5,1000000,827143.12
42,lrange5,1000000,1250040.00
43,lpush5,1000000,822473.69
43,lrange5,1000000,1270831.00
44,lpush5,1000000,827328.38
44,lrange5,1000000,1297120.62
45,lpush5,1000000,827973.56
45,lrange5,1000000,1297016.88
46,lpush5,1000000,834188.50
46,lrange5,1000000,1196325.38
47,lpush5,1000000,825896.00
47,lrange5,1000000,1300556.62
48,lpush5,1000000,842635.19
48,lrange5,1000000,1302270.88
49,lpush5,1000000,827827.88
49,lrange5,1000000,1277302.75
50,lpush5,1000000,842675.62
50,lrange5,1000000,1197681.50
51,lpush5,1000000,821162.50
51,lrange5,1000000,1245469.50
52,lpush5,1000000,828646.19
52,lrange5,1000000,1275591.88
53,lpush5,1000000,824586.94
53,lrange5,1000000,1192162.12
54,lpush5,1000000,827880.81
54,lrange5,1000000,1248439.50
55,lpush5,1000000,831308.44
55,lrange5,1000000,1184966.88
56,lpush5,1000000,830644.50
56,lrange5,1000000,1288721.62
57,lpush5,1000000,825816.69
57,lrange5,1000000,1251584.50
58,lpush5,1000000,831946.75
58,lrange5,1000000,1300577.38
59,lpush5,1000000,839657.44
59,lrange5,1000000,1262747.50
60,lpush5,1000000,836860.19
60,lrange5,1000000,1302104.12
61,lpush5,1000000,826538.81
61,lrange5,1000000,1269137.12
62,lpush5,1000000,827854.31
62,lrange5,1000000,1298805.25
63,lpush5,1000000,828540.19
63,lrange5,1000000,1297141.38
64,lpush5,1000000,837574.56
64,lrange5,1000000,1297099.88
65,lpush5,1000000,825856.31
65,lrange5,1000000,1302145.88
66,lpush5,1000000,832106.50
66,lrange5,1000000,1297141.38
67,lpush5,1000000,828553.44
67,lrange5,1000000,1194857.75
68,lpush5,1000000,829412.94
68,lrange5,1000000,1194915.12
69,lpush5,1000000,825108.88
69,lrange5,1000000,1196210.50
70,lpush5,1000000,830617.94
70,lrange5,1000000,1270709.00
71,lpush5,1000000,827196.06
71,lrange5,1000000,1283758.75
72,lpush5,1000000,832039.94
72,lrange5,1000000,1293847.38
73,lpush5,1000000,829888.75
73,lrange5,1000000,1251564.38
74,lpush5,1000000,820462.69
74,lrange5,1000000,1187667.50
75,lpush5,1000000,832799.38
75,lrange5,1000000,1194972.50
76,lpush5,1000000,834041.69
76,lrange5,1000000,1132756.50
