trial,operation,requests,rps
1,lpush5,1000000,823762.75
1,lrange5,1000000,1187800.50
2,lpush5,1000000,815726.00
2,lrange5,1000000,1275551.00
3,lpush5,1000000,834938.25
3,lrange5,1000000,1194896.00
4,lpush5,1000000,829346.62
4,lrange5,1000000,1062699.25
5,lpush5,1000000,836133.81
5,lrange5,1000000,1278956.50
6,lpush5,1000000,836927.19
6,lrange5,1000000,1243940.25
7,lpush5,1000000,825856.31
7,lrange5,1000000,1245350.00
8,lpush5,1000000,832719.44
8,lrange5,1000000,1282215.38
9,lpush5,1000000,830631.25
9,lrange5,1000000,1285367.62
10,lpush5,1000000,835555.56
10,lrange5,1000000,1206311.25
11,lpush5,1000000,840363.00
11,lrange5,1000000,1196382.75
12,lpush5,1000000,826657.81
12,lrange5,1000000,1200557.00
13,lpush5,1000000,831521.25
13,lrange5,1000000,1234765.38
14,lpush5,1000000,830657.81
14,lrange5,1000000,1203388.75
15,lpush5,1000000,831401.50
15,lrange5,1000000,1248539.38
16,lpush5,1000000,818330.62
16,lrange5,1000000,1194972.50
17,lpush5,1000000,822421.06
17,lrange5,1000000,1278813.25
18,lpush5,1000000,833493.31
18,lrange5,1000000,1290446.50
19,lpush5,1000000,837007.50
19,lrange5,1000000,1283717.62
20,lpush5,1000000,836953.94
20,lrange5,1000000,947197.00
21,lpush5,1000000,834215.19
21,lrange5,1000000,1264364.12
22,lpush5,1000000,821758.44
22,lrange5,1000000,1196229.62
23,lpush5,1000000,829187.44
23,lrange5,1000000,1234587.62
24,lpush5,1000000,834095.06
24,lrange5,1000000,1278915.62
25,lpush5,1000000,795557.69
25,lrange5,1000000,1258022.62
26,lpush5,1000000,829928.62
26,lrange5,1000000,1231665.00
27,lpush5,1000000,832812.69
27,lrange5,1000000,1197777.25
28,lpush5,1000000,829373.12
28,lrange5,1000000,1272407.12
29,lpush5,1000000,832812.69
29,lrange5,1000000,1256442.25
30,lpush5,1000000,841110.19
30,lrange5,1000000,1278813.25
31,lpush5,1000000,826657.81
31,lrange5,1000000,1283697.12
32,lpush5,1000000,839764.94
32,lrange5,1000000,1254785.50
33,lpush5,1000000,824547.38
33,lrange5,1000000,1259445.75
34,lpush5,1000000,837574.56
34,lrange5,1000000,1288701.00
35,lpush5,1000000,830061.38
35,lrange5,1000000,1257962.25
36,lpush5,1000000,827209.25
36,lrange5,1000000,1189212.88
37,lpush5,1000000,829902.06
37,lrange5,1000000,1261195.50
38,lpush5,1000000,836873.62
38,lrange5,1000000,1283697.12
39,lpush5,1000000,825122.12
39,lrange5,1000000,1187876.50
40,lpush5,1000000,823907.75
40,lrange5,1000000,1200595.38
41,lpush5,1000000,827368.06
41,lrange5,1000000,1242414.88
42,lpush5,1000000,827920.56
42,lrange5,1000000,1280512.12
43,lpush5,1000000,827920.56
43,lrange5,1000000,1272285.00
44,lpush5,1000000,838330.31
44,lrange5,1000000,1283758.75
45,lpush5,1000000,823084.75
45,lrange5,1000000,1240933.00
46,lpush5,1000000,829240.50
46,lrange5,1000000,1287083.62
47,lpush5,1000000,829928.62
47,lrange5,1000000,1258022.62
48,lpush5,1000000,831374.94
48,lrange5,1000000,1288762.88
49,lpush5,1000000,825856.31
49,lrange5,1000000,1270770.00
50,lpush5,1000000,834028.38
50,lrange5,1000000,1277139.25
51,lpush5,1000000,828646.19
51,lrange5,1000000,1285491.00
52,lpush5,1000000,825777.06
52,lrange5,1000000,1076701.75
53,lpush5,1000000,831414.81
53,lrange5,1000000,1215241.75
54,lpush5,1000000,831255.25
54,lrange5,1000000,1295461.12
55,lpush5,1000000,834241.88
55,lrange5,1000000,1174103.25
56,lpush5,1000000,827827.88
56,lrange5,1000000,1290384.50
57,lpush5,1000000,828606.44
57,lrange5,1000000,1278956.50
58,lpush5,1000000,825975.25
58,lrange5,1000000,1278895.12
59,lpush5,1000000,823124.25
59,lrange5,1000000,1287021.88
60,lpush5,1000000,830564.81
60,lrange5,1000000,1270709.00
61,lpush5,1000000,834884.81
61,lrange5,1000000,1282133.38
62,lpush5,1000000,820502.06
62,lrange5,1000000,1283758.75
63,lpush5,1000000,821705.81
63,lrange5,1000000,1288701.00
64,lpush5,1000000,825135.31
64,lrange5,1000000,1287001.25
65,lpush5,1000000,823084.75
65,lrange5,1000000,1202288.38
66,lpush5,1000000,828500.38
66,lrange5,1000000,1197643.12
67,lpush5,1000000,829373.12
67,lrange5,1000000,1245509.38
68,lpush5,1000000,827814.62
68,lrange5,1000000,1170997.75
69,lpush5,1000000,827894.06
69,lrange5,1000000,1251704.62
70,lpush5,1000000,831428.12
70,lrange5,1000000,1280450.62
71,lpush5,1000000,823868.19
71,lrange5,1000000,1283799.75
72,lpush5,1000000,829995.00
72,lrange5,1000000,1193489.25
73,lpush5,1000000,830087.94
73,lrange5,1000000,1290343.25
74,lpush5,1000000,822421.06
74,lrange5,1000000,1234607.38
75,lpush5,1000000,831308.44
75,lrange5,1000000,1189308.00
76,lpush5,1000000,830657.81
76,lrange5,1000000,1250000.00
77,lpush5,1000000,834028.38
77,lrange5,1000000,1264343.88
78,lpush5,1000000,829928.62
78,lrange5,1000000,1270729.38
79,lpush5,1000000,832692.75
79,lrange5,1000000,1288701.00
80,lpush5,1000000,835421.88
80,lrange5,1000000,1285532.12
81,lpush5,1000000,830008.25
81,lrange5,1000000,1197681.50
82,lpush5,1000000,834028.38
82,lrange5,1000000,1264242.75
83,lpush5,1000000,823828.69
83,lrange5,1000000,1275551.00
84,lpush5,1000000,828039.75
84,lrange5,1000000,1194876.88
85,lpush5,1000000,832000.00
85,lrange5,1000000,1285367.62
86,lpush5,1000000,827341.62
86,lrange5,1000000,1282338.50
87,lpush5,1000000,829213.94
87,lrange5,1000000,1290425.88
88,lpush5,1000000,829888.75
88,lrange5,1000000,1273905.75
89,lpush5,1000000,830048.12
89,lrange5,1000000,1288680.38
90,lpush5,1000000,837735.31
90,lrange5,1000000,1158785.62
91,lpush5,1000000,829200.69
91,lrange5,1000000,1269116.75
92,lpush5,1000000,834081.75
92,lrange5,1000000,1192066.75
93,lpush5,1000000,826644.62
93,lrange5,1000000,1189212.88
94,lpush5,1000000,825763.88
94,lrange5,1000000,1228638.75
95,lpush5,1000000,831428.12
95,lrange5,1000000,1239296.12
96,lpush5,1000000,834068.38
96,lrange5,1000000,1292093.00
97,lpush5,1000000,832679.44
97,lrange5,1000000,1225647.12
98,lpush5,1000000,828526.94
98,lrange5,1000000,1205147.00
99,lpush5,1000000,824507.81
99,lrange5,1000000,1273987.25
100,lpush5,1000000,827867.56
100,lrange5,1000000,1269076.12
101,lpush5,1000000,830604.62
101,lrange5,1000000,1293661.00
102,lpush5,1000000,830021.56
102,lrange5,1000000,1130232.75
103,lpush5,1000000,832000.00
103,lrange5,1000000,1283717.62
104,lpush5,1000000,826446.25
104,lrange5,1000000,1199175.12
105,lpush5,1000000,830578.06
105,lrange5,1000000,1267467.75
106,lpush5,1000000,826657.81
106,lrange5,1000000,1288701.00
107,lpush5,1000000,834055.06
107,lrange5,1000000,1272407.12
108,lpush5,1000000,832812.69
108,lrange5,1000000,1275653.12
109,lpush5,1000000,826512.38
109,lrange5,1000000,1200499.38
110,lpush5,1000000,827129.88
110,lrange5,1000000,1242335.38
111,lpush5,1000000,839738.06
111,lrange5,1000000,1290343.25
112,lpush5,1000000,829200.69
112,lrange5,1000000,1283840.88
113,lpush5,1000000,841258.19
113,lrange5,1000000,1194953.38
114,lpush5,1000000,827867.56
114,lrange5,1000000,1203523.50
115,lpush5,1000000,832666.12
115,lrange5,1000000,1253253.12
116,lpush5,1000000,836833.44
116,lrange5,1000000,1287042.50
117,lpush5,1000000,836294.31
117,lrange5,1000000,1261175.25
118,lpush5,1000000,824521.00
118,lrange5,1000000,1246902.75
119,lpush5,1000000,828646.19
119,lrange5,1000000,1264222.50
120,lpush5,1000000,827354.88
120,lrange5,1000000,1287166.00
121,lpush5,1000000,833559.94
121,lrange5,1000000,1191952.38
122,lpush5,1000000,835435.25
122,lrange5,1000000,1236093.88
123,lpush5,1000000,827960.31
123,lrange5,1000000,1288701.00
124,lpush5,1000000,828500.38
124,lrange5,1000000,1245409.75
125,lpush5,1000000,832000.00
125,lrange5,1000000,1280409.75
126,lpush5,1000000,827827.88
126,lrange5,1000000,1270688.75
127,lpush5,1000000,834884.81
127,lrange5,1000000,1199251.75
128,lpush5,1000000,821201.94
128,lrange5,1000000,1292031.00
129,lpush5,1000000,829346.62
129,lrange5,1000000,1273987.25
130,lpush5,1000000,825790.25
130,lrange5,1000000,1257901.88
131,lpush5,1000000,834804.69
131,lrange5,1000000,1190742.88
132,lpush5,1000000,827854.31
132,lrange5,1000000,1203446.50
133,lpush5,1000000,832133.12
133,lrange5,1000000,1187857.50
134,lpush5,1000000,831960.06
134,lrange5,1000000,1262666.62
135,lpush5,1000000,831281.81
135,lrange5,1000000,1262666.62
136,lpush5,1000000,828513.69
136,lrange5,1000000,1231566.50
137,lpush5,1000000,823203.25
137,lrange5,1000000,1259607.00
138,lpush5,1000000,825293.75
138,lrange5,1000000,1282112.88
139,lpush5,1000000,829187.44
139,lrange5,1000000,1242295.62
140,lpush5,1000000,823045.25
140,lrange5,1000000,1282092.38
141,lpush5,1000000,829875.50
141,lrange5,1000000,1265903.75
142,lpush5,1000000,831946.75
142,lrange5,1000000,1290487.75
143,lpush5,1000000,831335.00
143,lrange5,1000000,1242295.62
144,lpush5,1000000,826578.50
144,lrange5,1000000,1228638.75
145,lpush5,1000000,838370.50
145,lrange5,1000000,1270871.62
146,lpush5,1000000,836913.75
146,lrange5,1000000,1287145.38
147,lpush5,1000000,833346.62
147,lrange5,1000000,1196478.38
148,lpush5,1000000,832093.19
148,lrange5,1000000,1193470.12
149,lpush5,1000000,838330.31
149,lrange5,1000000,1196382.75
150,lpush5,1000000,829981.69
150,lrange5,1000000,1196248.75
151,lpush5,1000000,825082.50
151,lrange5,1000000,1197758.12
152,lpush5,1000000,830101.19
152,lrange5,1000000,1280594.12
153,lpush5,1000000,834281.88
153,lrange5,1000000,1187743.50
154,lpush5,1000000,834724.56
154,lrange5,1000000,1283902.50
155,lpush5,1000000,828540.19
155,lrange5,1000000,1187800.50
156,lpush5,1000000,832000.00
156,lrange5,1000000,1195029.88
157,lpush5,1000000,834778.00
157,lrange5,1000000,1231704.50
158,lpush5,1000000,836120.44
158,lrange5,1000000,1242315.50
159,lpush5,1000000,834081.75
159,lrange5,1000000,1193317.38
160,lpush5,1000000,827222.50
160,lrange5,1000000,1196325.38
161,lpush5,1000000,825161.69
161,lrange5,1000000,1277180.12
162,lpush5,1000000,834778.00
162,lrange5,1000000,1272305.38
163,lpush5,1000000,825790.25
163,lrange5,1000000,1269218.25
164,lpush5,1000000,830804.00
164,lrange5,1000000,1256402.00
165,lpush5,1000000,830604.62
165,lrange5,1000000,1189288.88
166,lpush5,1000000,833506.62
166,lrange5,1000000,1261074.38
167,lpush5,1000000,842513.88
167,lrange5,1000000,1196344.50
168,lpush5,1000000,831255.25
168,lrange5,1000000,1246922.75
169,lpush5,1000000,835462.00
169,lrange5,1000000,1287021.88
170,lpush5,1000000,826459.50
170,lrange5,1000000,1265822.75
171,lpush5,1000000,824507.81
171,lrange5,1000000,1221020.75
172,lpush5,1000000,829240.50
172,lrange5,1000000,1283738.12
173,lpush5,1000000,827867.56
173,lrange5,1000000,1265924.00
174,lpush5,1000000,834778.00
174,lrange5,1000000,1194819.62
175,lpush5,1000000,831281.81
175,lrange5,1000000,1282092.38
176,lpush5,1000000,834081.75
176,lrange5,1000000,1253333.38
177,lpush5,1000000,832093.19
177,lrange5,1000000,1197796.50
178,lpush5,1000000,826499.12
178,lrange5,1000000,1243820.88
179,lpush5,1000000,832039.94
179,lrange5,1000000,1248479.38
180,lpush5,1000000,826538.81
180,lrange5,1000000,1283799.75
181,lpush5,1000000,830777.44
181,lrange5,1000000,1283758.75
182,lpush5,1000000,833373.31
182,lrange5,1000000,1278956.50
183,lpush5,1000000,827288.69
183,lrange5,1000000,1283820.25
184,lpush5,1000000,831268.50
184,lrange5,1000000,1193336.50
185,lpush5,1000000,830604.62
185,lrange5,1000000,1285388.12
186,lpush5,1000000,819013.94
186,lrange5,1000000,1257962.25
187,lpush5,1000000,831361.62
187,lrange5,1000000,1182335.62
188,lpush5,1000000,837614.75
188,lrange5,1000000,1287042.50
189,lpush5,1000000,834228.50
189,lrange5,1000000,1256301.50
190,lpush5,1000000,844124.94
190,lrange5,1000000,1199232.62
191,lpush5,1000000,831255.25
191,lrange5,1000000,1290363.88
192,lpush5,1000000,833346.62
192,lrange5,1000000,1258022.62
193,lpush5,1000000,830631.25
193,lrange5,1000000,1221177.00
194,lpush5,1000000,825803.50
194,lrange5,1000000,1285491.00
195,lpush5,1000000,829941.88
195,lrange5,1000000,1283881.88
196,lpush5,1000000,826525.62
196,lrange5,1000000,1285367.62
197,lpush5,1000000,833573.31
197,lrange5,1000000,1275632.62
198,lpush5,1000000,839791.81
198,lrange5,1000000,1285552.75
199,lpush5,1000000,833493.31
199,lrange5,1000000,1161588.88
200,lpush5,1000000,834818.06
200,lrange5,1000000,1196421.00
201,lpush5,1000000,827986.81
201,lrange5,1000000,1282051.38
202,lpush5,1000000,833399.94
202,lrange5,1000000,1243820.88
203,lpush5,1000000,825267.31
203,lrange5,1000000,1256281.38
204,lpush5,1000000,828000.06
204,lrange5,1000000,1193508.38
205,lpush5,1000000,825763.88
205,lrange5,1000000,1283861.38
206,lpush5,1000000,839060.38
