trial,operation,requests,rps
1,lpush5,1000000,827854.31
1,lrange5,1000000,1194915.12
2,lpush5,1000000,833439.94
2,lrange5,1000000,1290405.25
3,lpush5,1000000,828013.31
3,lrange5,1000000,1295357.50
4,lpush5,1000000,829293.56
4,lrange5,1000000,1302187.50
5,lpush5,1000000,837614.75
5,lrange5,1000000,1262747.50
6,lpush5,1000000,829399.69
6,lrange5,1000000,791303.75
7,lpush5,1000000,790551.81
7,lrange5,1000000,1189269.88
8,lpush5,1000000,834898.19
8,lrange5,1000000,1199079.12
9,lpush5,1000000,839020.12
9,lrange5,1000000,1175370.12
10,lpush5,1000000,841042.88
10,lrange5,1000000,1196306.12
11,lpush5,1000000,835488.69
11,lrange5,1000000,1186695.12
12,lpush5,1000000,834911.56
12,lrange5,1000000,1199232.62
13,lpush5,1000000,833453.31
13,lrange5,1000000,1178101.38
14,lpush5,1000000,829187.44
14,lrange5,1000000,1282051.38
15,lpush5,1000000,836967.31
15,lrange5,1000000,1290363.88
16,lpush5,1000000,835435.25
16,lrange5,1000000,1298826.00
17,lpush5,1000000,836240.81
17,lrange5,1000000,1248579.25
18,lpush5,1000000,838953.00
18,lrange5,1000000,1300619.00
19,lpush5,1000000,828646.19
19,lrange5,1000000,1199328.50
20,lpush5,1000000,827960.31
20,lrange5,1000000,1300410.88
21,lpush5,1000000,834135.12
21,lrange5,1000000,1213631.12
22,lpush5,1000000,835635.75
22,lrange5,1000000,1303822.62
23,lpush5,1000000,834108.44
23,lrange5,1000000,1298742.88
24,lpush5,1000000,835448.62
24,lrange5,1000000,1261195.50
25,lpush5,1000000,833413.31
25,lrange5,1000000,1298722.12
26,lpush5,1000000,841858.62
26,lrange5,1000000,1183772.75
27,lpush5,1000000,838343.69
27,lrange5,1000000,1196363.62
28,lpush5,1000000,835502.06
28,lrange5,1000000,1176884.62
29,lpush5,1000000,837534.31
29,lrange5,1000000,1242236.00
30,lpush5,1000000,830777.44
30,lrange5,1000000,1185213.25
31,lpush5,1000000,838926.12
31,lrange5,1000000,1247122.25
