trial,operation,requests,rps
1,lpush5,1000000,843895.38
1,lrange5,1000000,1248479.38
2,lpush5,1000000,838383.94
2,lrange5,1000000,1183810.62
3,lpush5,1000000,827986.81
3,lrange5,1000000,1298805.25
4,lpush5,1000000,831308.44
4,lrange5,1000000,1302166.62
5,lpush5,1000000,838290.06
5,lrange5,1000000,1193584.75
6,lpush5,1000000,837641.56
6,lrange5,1000000,1185099.50
7,lpush5,1000000,819672.12
7,lrange5,1000000,1256462.25
8,lpush5,1000000,824428.62
8,lrange5,1000000,1245529.25
9,lpush5,1000000,822460.56
9,lrange5,1000000,1087008.62
10,lpush5,1000000,828526.94
10,lrange5,1000000,1287042.50
11,lpush5,1000000,825909.19
11,lrange5,1000000,1256381.88
12,lpush5,1000000,830684.38
12,lrange5,1000000,1230032.00
13,lpush5,1000000,831281.81
13,lrange5,1000000,1190723.88
14,lpush5,1000000,824494.62
14,lrange5,1000000,1295544.00
15,lpush5,1000000,825777.06
15,lrange5,1000000,1253173.00
16,lpush5,1000000,830604.62
16,lrange5,1000000,1297037.62
17,lpush5,1000000,829227.19
17,lrange5,1000000,1297141.38
18,lpush5,1000000,841177.44
18,lrange5,1000000,1282215.38
19,lpush5,1000000,828686.00
19,lrange5,1000000,1239296.12
20,lpush5,1000000,829280.31
20,lrange5,1000000,1200691.50
21,lpush5,1000000,824441.81
21,lrange5,1000000,1293806.00
22,lpush5,1000000,830617.94
22,lrange5,1000000,1201923.00
23,lpush5,1000000,823084.75
23,lrange5,1000000,1189308.00
24,lpush5,1000000,825829.94
24,lrange5,1000000,1265822.75
25,lpush5,1000000,827129.88
25,lrange5,1000000,1196344.50
26,lpush5,1000000,832826.00
26,lrange5,1000000,1203523.50
27,lpush5,1000000,820410.19
27,lrange5,1000000,1295419.62
28,lpush5,1000000,836294.31
28,lrange5,1000000,1191933.25
29,lpush5,1000000,832186.31
29,lrange5,1000000,1247122.25
30,lpush5,1000000,829373.12
30,lrange5,1000000,1290322.62
31,lpush5,1000000,826512.38
31,lrange5,1000000,1183715.88
32,lpush5,1000000,826525.62
32,lrange5,1000000,1193336.50
33,lpush5,1000000,839738.06
33,lrange5,1000000,1203677.50
34,lpush5,1000000,822368.44
34,lrange5,1000000,1203408.00
35,lpush5,1000000,832079.88
35,lrange5,1000000,1198026.38
36,lpush5,1000000,832759.38
36,lrange5,1000000,1254765.38
37,lpush5,1000000,823203.25
37,lrange5,1000000,1199366.88
38,lpush5,1000000,841231.25
38,lrange5,1000000,1188028.50
39,lpush5,1000000,822394.75
39,lrange5,1000000,1254725.25
40,lpush5,1000000,821745.25
40,lrange5,1000000,1291989.62
41,lpush5,1000000,826618.12
41,lrange5,1000000,1228815.75
42,lpush5,1000000,823775.94
42,lrange5,1000000,1293826.62
43,lpush5,1000000,823802.31
43,lrange5,1000000,1274048.38
44,lpush5,1000000,826552.06
44,lrange5,1000000,1293723.12
45,lpush5,1000000,825816.69
45,lrange5,1000000,1303968.62
46,lpush5,1000000,823071.56
46,lrange5,1000000,1259627.12
47,lpush5,1000000,830777.44
47,lrange5,1000000,1270871.62
48,lpush5,1000000,822526.31
48,lrange5,1000000,1237841.50
49,lpush5,1000000,823045.25
49,lrange5,1000000,1247062.38
50,lpush5,1000000,836240.81
50,lrange5,1000000,1278895.12
51,lpush5,1000000,823190.12
51,lrange5,1000000,1297286.62
52,lpush5,1000000,827880.81
52,lrange5,1000000,1190838.12
53,lpush5,1000000,831960.06
53,lrange5,1000000,1205262.62
54,lpush5,1000000,818461.56
54,lrange5,1000000,1203658.25
55,lpush5,1000000,826631.38
55,lrange5,1000000,1261054.25
56,lpush5,1000000,830617.94
56,lrange5,1000000,1267427.12
57,lpush5,1000000,830034.81
57,lrange5,1000000,1213650.50
58,lpush5,1000000,825935.62
58,lrange5,1000000,1206369.12
59,lpush5,1000000,831414.81
59,lrange5,1000000,1290487.75
60,lpush5,1000000,821824.12
60,lrange5,1000000,1305712.88
61,lpush5,1000000,832173.00
61,lrange5,1000000,1305733.75
62,lpush5,1000000,823947.31
62,lrange5,1000000,1090739.38
63,lpush5,1000000,825135.31
63,lrange5,1000000,1277139.25
64,lpush5,1000000,823868.19
64,lrange5,1000000,1282194.88
65,lpush5,1000000,829293.56
65,lrange5,1000000,1293847.38
66,lpush5,1000000,829928.62
66,lrange5,1000000,1302104.12
67,lpush5,1000000,841804.75
67,lrange5,1000000,1300494.12
68,lpush5,1000000,825816.69
68,lrange5,1000000,1295336.75
69,lpush5,1000000,839630.56
69,lrange5,1000000,1198007.25
70,lpush5,1000000,830617.94
70,lrange5,1000000,1302104.12
71,lpush5,1000000,836173.94
71,lrange5,1000000,1269096.50
72,lpush5,1000000,821797.88
72,lrange5,1000000,1197911.38
73,lpush5,1000000,826459.50
73,lrange5,1000000,1192219.38
74,lpush5,1000000,823190.12
74,lrange5,1000000,1277180.12
75,lpush5,1000000,834737.94
75,lrange5,1000000,1303927.00
76,lpush5,1000000,823828.69
76,lrange5,1000000,1186600.25
77,lpush5,1000000,827814.62
77,lrange5,1000000,1278813.25
78,lpush5,1000000,822368.44
78,lrange5,1000000,1246922.75
79,lpush5,1000000,839630.56
79,lrange5,1000000,1298701.38
80,lpush5,1000000,824586.94
80,lrange5,1000000,1288659.75
81,lpush5,1000000,824415.44
81,lrange5,1000000,1305504.00
82,lpush5,1000000,831281.81
82,lrange5,1000000,1287021.88
83,lpush5,1000000,825082.50
83,lrange5,1000000,1300452.50
84,lpush5,1000000,832799.38
84,lrange5,1000000,1292031.00
85,lpush5,1000000,828606.44
85,lrange5,1000000,1265883.50
86,lpush5,1000000,829928.62
86,lrange5,1000000,1262848.50
87,lpush5,1000000,831268.50
87,lrange5,1000000,1280594.12
88,lpush5,1000000,820410.19
88,lrange5,1000000,1183659.12
89,lpush5,1000000,824415.44
89,lrange5,1000000,1265964.50
90,lpush5,1000000,827986.81
90,lrange5,1000000,1206677.88
91,lpush5,1000000,828566.69
91,lrange5,1000000,1227131.25
92,lpush5,1000000,824521.00
92,lrange5,1000000,1298867.62
93,lpush5,1000000,827209.25
93,lrange5,1000000,1187952.50
94,lpush5,1000000,826671.06
94,lrange5,1000000,1237683.12
95,lpush5,1000000,819145.00
95,lrange5,1000000,1298722.12
96,lpush5,1000000,827156.31
96,lrange5,1000000,1204935.00
97,lpush5,1000000,844648.62
97,lrange5,1000000,1202192.25
98,lpush5,1000000,832013.31
98,lrange5,1000000,1265822.75
99,lpush5,1000000,834041.69
99,lrange5,1000000,1196287.00
100,lpush5,1000000,836334.44
100,lrange5,1000000,1251724.62
101,lpush5,1000000,817713.81
101,lrange5,1000000,1261054.25
