trial,operation,requests,rps
1,pushread5,1000000,107089.31
2,pushread5,1000000,135558.62
3,pushread5,1000000,136014.14
4,pushread5,1000000,136056.59
5,pushread5,1000000,135816.38
6,pushread5,1000000,136295.48
7,pushread5,1000000,136353.42
8,pushread5,1000000,135938.02
9,pushread5,1000000,136132.86
10,pushread5,1000000,136388.44
11,pushread5,1000000,136718.52
12,pushread5,1000000,136260.52
13,pushread5,1000000,136026.11
14,pushread5,1000000,126748.80
15,pushread5,1000000,136271.42
16,pushread5,1000000,135945.62
17,pushread5,1000000,136211.39
18,pushread5,1000000,136705.41
19,pushread5,1000000,136104.52
20,pushread5,1000000,136238.66
21,pushread5,1000000,136411.41
22,pushread5,1000000,136573.53
23,pushread5,1000000,136312.94
24,pushread5,1000000,130140.55
25,pushread5,1000000,136541.78
26,pushread5,1000000,136019.58
27,pushread5,1000000,136403.72
28,pushread5,1000000,136465.06
29,pushread5,1000000,136077.30
30,pushread5,1000000,135972.81
31,pushread5,1000000,135744.81
32,pushread5,1000000,135970.62
33,pushread5,1000000,131130.34
34,pushread5,1000000,136427.83
35,pushread5,1000000,136343.56
36,pushread5,1000000,136683.34
37,pushread5,1000000,136780.20
38,pushread5,1000000,137009.45
39,pushread5,1000000,136863.83
40,pushread5,1000000,128573.93
41,pushread5,1000000,133803.59
42,pushread5,1000000,135980.42
43,pushread5,1000000,135898.89
44,pushread5,1000000,136576.89
45,pushread5,1000000,135648.39
46,pushread5,1000000,131516.05
47,pushread5,1000000,135964.11
48,pushread5,1000000,135795.77
49,pushread5,1000000,135538.09
50,pushread5,1000000,136001.08
51,pushread5,1000000,135822.91
52,pushread5,1000000,135961.94
53,pushread5,1000000,136186.30
54,pushread5,1000000,136502.31
55,pushread5,1000000,136308.58
56,pushread5,1000000,134523.55
57,pushread5,1000000,132559.91
58,pushread5,1000000,136357.78
59,pushread5,1000000,135804.45
60,pushread5,1000000,136465.06
61,pushread5,1000000,136241.95
62,pushread5,1000000,135841.34
63,pushread5,1000000,136388.44
64,pushread5,1000000,134868.23
65,pushread5,1000000,128712.48
66,pushread5,1000000,131596.27
67,pushread5,1000000,136666.86
68,pushread5,1000000,136221.22
69,pushread5,1000000,136223.41
70,pushread5,1000000,136599.92
71,pushread5,1000000,136629.50
72,pushread5,1000000,136409.22
73,pushread5,1000000,136543.97
74,pushread5,1000000,136438.75
75,pushread5,1000000,133272.92
76,pushread5,1000000,136260.52
77,pushread5,1000000,136894.73
78,pushread5,1000000,136726.28
79,pushread5,1000000,136378.56
80,pushread5,1000000,136221.22
81,pushread5,1000000,136351.23
82,pushread5,1000000,136054.42
83,pushread5,1000000,136295.48
84,pushread5,1000000,136083.83
85,pushread5,1000000,135961.94
86,pushread5,1000000,136353.42
87,pushread5,1000000,135905.42
88,pushread5,1000000,135995.64
89,pushread5,1000000,135931.50
90,pushread5,1000000,136184.12
91,pushread5,1000000,136081.64
92,pushread5,1000000,135581.34
93,pushread5,1000000,136019.58
94,pushread5,1000000,135878.27
95,pushread5,1000000,136217.92
96,pushread5,1000000,136276.92
97,pushread5,1000000,136372.02
98,pushread5,1000000,136065.31
99,pushread5,1000000,136560.42
100,pushread5,1000000,135888.03
101,pushread5,1000000,136109.97
102,pushread5,1000000,135927.14
103,pushread5,1000000,135825.08
104,pushread5,1000000,135882.61
105,pushread5,1000000,135831.59
106,pushread5,1000000,136005.44
107,pushread5,1000000,135890.20
108,pushread5,1000000,135853.28
109,pushread5,1000000,135892.38
110,pushread5,1000000,134329.08
111,pushread5,1000000,136276.92
112,pushread5,1000000,136001.08
113,pushread5,1000000,135790.36
114,pushread5,1000000,135961.94
115,pushread5,1000000,136130.69
116,pushread5,1000000,136490.23
117,pushread5,1000000,136425.66
118,pushread5,1000000,136111.05
119,pushread5,1000000,136267.06
120,pushread5,1000000,136543.97
121,pushread5,1000000,136357.78
122,pushread5,1000000,136264.88
123,pushread5,1000000,136058.78
124,pushread5,1000000,136283.45
125,pushread5,1000000,136151.41
126,pushread5,1000000,136318.44
127,pushread5,1000000,136244.14
128,pushread5,1000000,135645.19
129,pushread5,1000000,135927.14
130,pushread5,1000000,136324.97
131,pushread5,1000000,136299.86
132,pushread5,1000000,135703.62
133,pushread5,1000000,136676.78
134,pushread5,1000000,135777.33
135,pushread5,1000000,135704.75
136,pushread5,1000000,136009.78
137,pushread5,1000000,136306.39
138,pushread5,1000000,136372.02
139,pushread5,1000000,136374.20
140,pushread5,1000000,135998.91
141,pushread5,1000000,136314.06
142,pushread5,1000000,134535.17
143,pushread5,1000000,135927.14
144,pushread5,1000000,134433.12
145,pushread5,1000000,136593.36
146,pushread5,1000000,136564.80
147,pushread5,1000000,136536.25
148,pushread5,1000000,136283.45
149,pushread5,1000000,136430.02
150,pushread5,1000000,135703.62
151,pushread5,1000000,135888.03
152,pushread5,1000000,136239.78
153,pushread5,1000000,136857.25
154,pushread5,1000000,136056.59
155,pushread5,1000000,136548.34
156,pushread5,1000000,103291.05
157,pushread5,1000000,136579.08
158,pushread5,1000000,136056.59
159,pushread5,1000000,136455.17
160,pushread5,1000000,136376.38
161,pushread5,1000000,136139.39
162,pushread5,1000000,136432.20
163,pushread5,1000000,136457.36
164,pushread5,1000000,136207.03
165,pushread5,1000000,136322.80
166,pushread5,1000000,135814.20
167,pushread5,1000000,136190.66
168,pushread5,1000000,136097.98
169,pushread5,1000000,136359.97
170,pushread5,1000000,135833.77
171,pushread5,1000000,135947.80
172,pushread5,1000000,136184.12
173,pushread5,1000000,135986.94
174,pushread5,1000000,135726.39
175,pushread5,1000000,136054.42
176,pushread5,1000000,136457.36
177,pushread5,1000000,136007.61
178,pushread5,1000000,136308.58
179,pushread5,1000000,136315.11
180,pushread5,1000000,136388.44
181,pushread5,1000000,136262.70
182,pushread5,1000000,136109.97
183,pushread5,1000000,136318.44
184,pushread5,1000000,136081.64
185,pushread5,1000000,133873.09
186,pushread5,1000000,136574.70
187,pushread5,1000000,136763.69
188,pushread5,1000000,136765.88
189,pushread5,1000000,136445.30
190,pushread5,1000000,136353.42
191,pushread5,1000000,136744.97
192,pushread5,1000000,136873.80
193,pushread5,1000000,137007.27
194,pushread5,1000000,136707.59
195,pushread5,1000000,136343.56
196,pushread5,1000000,136118.69
197,pushread5,1000000,136608.66
198,pushread5,1000000,136329.33
199,pushread5,1000000,136747.16
200,pushread5,1000000,136450.81
201,pushread5,1000000,136295.48
202,pushread5,1000000,136469.44
203,pushread5,1000000,136857.25
204,pushread5,1000000,136372.02
205,pushread5,1000000,136368.69
206,pushread5,1000000,136299.86
207,pushread5,1000000,136595.55
208,pushread5,1000000,136314.06
209,pushread5,1000000,136564.80
210,pushread5,1000000,136768.06
211,pushread5,1000000,136295.48
212,pushread5,1000000,136866.02
213,pushread5,1000000,135998.91
214,pushread5,1000000,132832.52
215,pushread5,1000000,136353.42
216,pushread5,1000000,136299.86
217,pushread5,1000000,134789.05
218,pushread5,1000000,136271.42
219,pushread5,1000000,136688.91
220,pushread5,1000000,136327.16
221,pushread5,1000000,136044.62
222,pushread5,1000000,136056.59
223,pushread5,1000000,135645.19
224,pushread5,1000000,136141.56
225,pushread5,1000000,136007.61
226,pushread5,1000000,136147.05
227,pushread5,1000000,135890.20
228,pushread5,1000000,136372.02
229,pushread5,1000000,136109.97
230,pushread5,1000000,136149.22
231,pushread5,1000000,134212.31
232,pushread5,1000000,136269.25
233,pushread5,1000000,136332.66
234,pushread5,1000000,136297.67
235,pushread5,1000000,136184.12
236,pushread5,1000000,135931.50
237,pushread5,1000000,136405.89
238,pushread5,1000000,136271.42
239,pushread5,1000000,136310.75
240,pushread5,1000000,136353.42
241,pushread5,1000000,136339.19
242,pushread5,1000000,136403.72
243,pushread5,1000000,136635.06
244,pushread5,1000000,136341.38
245,pushread5,1000000,136223.41
246,pushread5,1000000,136368.69
247,pushread5,1000000,136842.91
248,pushread5,1000000,135949.97
249,pushread5,1000000,136430.02
250,pushread5,1000000,136556.06
251,pushread5,1000000,136546.16
252,pushread5,1000000,136457.36
253,pushread5,1000000,136649.36
254,pushread5,1000000,136374.20
255,pushread5,1000000,136056.59
256,pushread5,1000000,136595.55
257,pushread5,1000000,136339.19
258,pushread5,1000000,134192.16
259,pushread5,1000000,136357.78
260,pushread5,1000000,136295.48
261,pushread5,1000000,136102.34
262,pushread5,1000000,136492.42
263,pushread5,1000000,135822.91
264,pushread5,1000000,136135.03
265,pushread5,1000000,136264.88
266,pushread5,1000000,136425.66
267,pushread5,1000000,136518.78
268,pushread5,1000000,136471.61
269,pushread5,1000000,136763.69
270,pushread5,1000000,136967.53
271,pushread5,1000000,136543.97
272,pushread5,1000000,136453.00
273,pushread5,1000000,136221.22
274,pushread5,1000000,136023.94
275,pushread5,1000000,135954.33
276,pushread5,1000000,136691.09
277,pushread5,1000000,136427.83
278,pushread5,1000000,136162.30
279,pushread5,1000000,136366.52
280,pushread5,1000000,136147.05
281,pushread5,1000000,136135.03
