trial,operation,requests,rps
1,pushread5,1000000,118760.25
2,pushread5,1000000,134485.20
3,pushread5,1000000,135097.67
4,pushread5,1000000,122810.77
5,pushread5,1000000,134734.58
6,pushread5,1000000,134754.89
7,pushread5,1000000,135025.66
8,pushread5,1000000,134952.77
9,pushread5,1000000,134652.48
10,pushread5,1000000,135322.33
11,pushread5,1000000,135111.59
12,pushread5,1000000,134686.59
13,pushread5,1000000,134993.52
14,pushread5,1000000,134686.59
15,pushread5,1000000,134630.05
16,pushread5,1000000,134618.39
17,pushread5,1000000,135013.91
18,pushread5,1000000,135308.36
19,pushread5,1000000,135505.69
20,pushread5,1000000,134609.78
21,pushread5,1000000,134638.67
22,pushread5,1000000,134922.83
23,pushread5,1000000,130184.84
24,pushread5,1000000,135111.59
25,pushread5,1000000,134537.33
26,pushread5,1000000,135668.97
27,pushread5,1000000,134884.27
28,pushread5,1000000,134834.03
29,pushread5,1000000,134727.20
30,pushread5,1000000,135135.14
31,pushread5,1000000,135137.30
32,pushread5,1000000,135318.00
33,pushread5,1000000,135121.20
34,pushread5,1000000,135271.73
35,pushread5,1000000,134991.36
36,pushread5,1000000,134720.73
37,pushread5,1000000,134934.56
38,pushread5,1000000,131287.38
39,pushread5,1000000,134591.66
40,pushread5,1000000,134684.44
41,pushread5,1000000,134733.67
42,pushread5,1000000,130210.42
43,pushread5,1000000,134811.53
44,pushread5,1000000,134503.30
45,pushread5,1000000,134600.27
46,pushread5,1000000,135102.95
47,pushread5,1000000,134700.44
48,pushread5,1000000,134598.12
49,pushread5,1000000,134863.92
50,pushread5,1000000,134773.05
51,pushread5,1000000,134535.17
52,pushread5,1000000,134718.58
53,pushread5,1000000,134777.36
54,pushread5,1000000,134501.14
55,pushread5,1000000,128685.62
56,pushread5,1000000,135123.36
57,pushread5,1000000,134174.16
58,pushread5,1000000,134573.53
59,pushread5,1000000,134571.39
60,pushread5,1000000,134600.27
61,pushread5,1000000,134716.42
62,pushread5,1000000,134390.55
63,pushread5,1000000,134564.05
64,pushread5,1000000,134754.89
65,pushread5,1000000,134459.80
66,pushread5,1000000,134752.73
67,pushread5,1000000,134922.83
68,pushread5,1000000,134371.62
69,pushread5,1000000,134630.05
70,pushread5,1000000,134593.81
71,pushread5,1000000,134360.88
72,pushread5,1000000,134516.20
73,pushread5,1000000,134444.73
74,pushread5,1000000,134214.47
75,pushread5,1000000,134564.05
76,pushread5,1000000,134383.23
77,pushread5,1000000,134845.73
78,pushread5,1000000,134625.73
79,pushread5,1000000,134548.09
80,pushread5,1000000,134884.27
81,pushread5,1000000,134779.52
82,pushread5,1000000,134135.20
83,pushread5,1000000,134753.97
84,pushread5,1000000,134284.41
85,pushread5,1000000,134399.14
86,pushread5,1000000,134553.28
87,pushread5,1000000,134589.50
88,pushread5,1000000,134738.89
89,pushread5,1000000,134501.14
90,pushread5,1000000,134736.73
91,pushread5,1000000,135011.75
92,pushread5,1000000,132128.42
93,pushread5,1000000,134537.33
94,pushread5,1000000,134423.66
95,pushread5,1000000,135583.52
96,pushread5,1000000,134970.98
97,pushread5,1000000,134801.98
98,pushread5,1000000,134799.83
99,pushread5,1000000,132810.62
100,pushread5,1000000,134627.89
101,pushread5,1000000,134882.11
102,pushread5,1000000,134354.44
103,pushread5,1000000,134807.22
