trial,operation,requests,rps
1,pushread5,1000000,117921.95
2,pushread5,1000000,131591.58
3,pushread5,1000000,132224.78
4,pushread5,1000000,130089.77
5,pushread5,1000000,131967.27
6,pushread5,1000000,132209.41
7,pushread5,1000000,126294.52
8,pushread5,1000000,132060.75
9,pushread5,1000000,132359.97
10,pushread5,1000000,132382.31
11,pushread5,1000000,132531.14
12,pushread5,1000000,131876.03
13,pushread5,1000000,132327.64
14,pushread5,1000000,132039.08
15,pushread5,1000000,132640.84
16,pushread5,1000000,132500.27
17,pushread5,1000000,132298.98
18,pushread5,1000000,131830.22
19,pushread5,1000000,132285.72
20,pushread5,1000000,132375.39
21,pushread5,1000000,132224.78
22,pushread5,1000000,132559.91
23,pushread5,1000000,132458.80
24,pushread5,1000000,132610.53
25,pushread5,1000000,132135.31
26,pushread5,1000000,130823.65
27,pushread5,1000000,132353.62
28,pushread5,1000000,132248.61
29,pushread5,1000000,132355.73
30,pushread5,1000000,132187.70
31,pushread5,1000000,132303.22
32,pushread5,1000000,132797.23
33,pushread5,1000000,132474.23
34,pushread5,1000000,132388.67
35,pushread5,1000000,131878.14
36,pushread5,1000000,132728.88
37,pushread5,1000000,132266.11
38,pushread5,1000000,132491.78
39,pushread5,1000000,131806.52
40,pushread5,1000000,132678.78
41,pushread5,1000000,132380.20
42,pushread5,1000000,132100.39
43,pushread5,1000000,132015.31
44,pushread5,1000000,132465.16
45,pushread5,1000000,132583.84
46,pushread5,1000000,132872.70
47,pushread5,1000000,132285.72
48,pushread5,1000000,132187.70
49,pushread5,1000000,131862.88
50,pushread5,1000000,132170.23
51,pushread5,1000000,132157.00
52,pushread5,1000000,132329.75
53,pushread5,1000000,132108.84
54,pushread5,1000000,132279.36
55,pushread5,1000000,132484.84
56,pushread5,1000000,130518.40
57,pushread5,1000000,132476.36
58,pushread5,1000000,132161.23
59,pushread5,1000000,132726.75
60,pushread5,1000000,132605.67
61,pushread5,1000000,132590.83
62,pushread5,1000000,132474.23
63,pushread5,1000000,132643.59
64,pushread5,1000000,132117.86
65,pushread5,1000000,132410.44
66,pushread5,1000000,132347.27
67,pushread5,1000000,131997.89
68,pushread5,1000000,131930.34
69,pushread5,1000000,132039.08
70,pushread5,1000000,131878.14
71,pushread5,1000000,132643.59
72,pushread5,1000000,131858.64
73,pushread5,1000000,132257.08
74,pushread5,1000000,132013.20
75,pushread5,1000000,104663.95
76,pushread5,1000000,132349.39
77,pushread5,1000000,132314.38
78,pushread5,1000000,132399.84
79,pushread5,1000000,132985.11
80,pushread5,1000000,132628.12
81,pushread5,1000000,132837.41
82,pushread5,1000000,132652.08
83,pushread5,1000000,132785.98
84,pushread5,1000000,132573.25
85,pushread5,1000000,132130.53
86,pushread5,1000000,132965.30
87,pushread5,1000000,132342.47
88,pushread5,1000000,132542.34
89,pushread5,1000000,132777.48
90,pushread5,1000000,132430.08
91,pushread5,1000000,132207.30
92,pushread5,1000000,132599.31
93,pushread5,1000000,132470.00
94,pushread5,1000000,132283.59
95,pushread5,1000000,132505.11
96,pushread5,1000000,132213.64
97,pushread5,1000000,132451.86
98,pushread5,1000000,132522.66
99,pushread5,1000000,131787.03
100,pushread5,1000000,132434.91
101,pushread5,1000000,127524.61
102,pushread5,1000000,132270.34
103,pushread5,1000000,132384.44
104,pushread5,1000000,132222.66
105,pushread5,1000000,132432.78
106,pushread5,1000000,132002.11
107,pushread5,1000000,132329.75
108,pushread5,1000000,132263.98
109,pushread5,1000000,132143.77
110,pushread5,1000000,132226.89
111,pushread5,1000000,132292.62
112,pushread5,1000000,132480.59
113,pushread5,1000000,131773.88
114,pushread5,1000000,132180.81
115,pushread5,1000000,132165.45
116,pushread5,1000000,132154.89
117,pushread5,1000000,132432.78
118,pushread5,1000000,132139.53
119,pushread5,1000000,132333.98
120,pushread5,1000000,131997.89
121,pushread5,1000000,132205.19
122,pushread5,1000000,132362.67
123,pushread5,1000000,131963.05
124,pushread5,1000000,132277.25
125,pushread5,1000000,131917.16
126,pushread5,1000000,132390.78
127,pushread5,1000000,132172.34
128,pushread5,1000000,131928.23
129,pushread5,1000000,131984.69
130,pushread5,1000000,131997.89
131,pushread5,1000000,132779.61
132,pushread5,1000000,132102.50
133,pushread5,1000000,132761.98
134,pushread5,1000000,132526.91
135,pushread5,1000000,132524.78
136,pushread5,1000000,132148.00
137,pushread5,1000000,132089.28
138,pushread5,1000000,131940.89
139,pushread5,1000000,132665.42
140,pushread5,1000000,132087.17
141,pushread5,1000000,132366.91
142,pushread5,1000000,132491.78
143,pushread5,1000000,132207.30
144,pushread5,1000000,132152.77
145,pushread5,1000000,131864.98
146,pushread5,1000000,132137.42
147,pushread5,1000000,132489.67
148,pushread5,1000000,132476.36
149,pushread5,1000000,131841.27
150,pushread5,1000000,132012.67
151,pushread5,1000000,132034.86
152,pushread5,1000000,132351.50
153,pushread5,1000000,131778.09
154,pushread5,1000000,132032.75
155,pushread5,1000000,132333.98
156,pushread5,1000000,132307.45
157,pushread5,1000000,132349.39
158,pushread5,1000000,130641.93
159,pushread5,1000000,132452.45
160,pushread5,1000000,132628.12
161,pushread5,1000000,132322.83
162,pushread5,1000000,132502.98
163,pushread5,1000000,132522.66
164,pushread5,1000000,133046.69
165,pushread5,1000000,132312.25
166,pushread5,1000000,132678.78
167,pushread5,1000000,132491.78
168,pushread5,1000000,132347.27
169,pushread5,1000000,132209.41
170,pushread5,1000000,132058.62
171,pushread5,1000000,132496.03
172,pushread5,1000000,132998.53
173,pushread5,1000000,132373.27
174,pushread5,1000000,132755.61
175,pushread5,1000000,132450.33
176,pushread5,1000000,132458.80
177,pushread5,1000000,131878.14
178,pushread5,1000000,132279.36
179,pushread5,1000000,132135.31
180,pushread5,1000000,132226.89
181,pushread5,1000000,132296.86
182,pushread5,1000000,132275.14
183,pushread5,1000000,132349.39
184,pushread5,1000000,132349.39
185,pushread5,1000000,132182.92
186,pushread5,1000000,132159.11
187,pushread5,1000000,132296.86
188,pushread5,1000000,132531.14
189,pushread5,1000000,132137.42
190,pushread5,1000000,132412.55
191,pushread5,1000000,132163.34
192,pushread5,1000000,131648.23
193,pushread5,1000000,132178.69
194,pushread5,1000000,131845.48
195,pushread5,1000000,132399.84
196,pushread5,1000000,132032.75
197,pushread5,1000000,132329.75
198,pushread5,1000000,132380.20
199,pushread5,1000000,132172.34
200,pushread5,1000000,132395.03
201,pushread5,1000000,132327.06
202,pushread5,1000000,132171.80
203,pushread5,1000000,132279.36
204,pushread5,1000000,132030.64
205,pushread5,1000000,132336.11
206,pushread5,1000000,132333.98
207,pushread5,1000000,132054.41
208,pushread5,1000000,132296.86
209,pushread5,1000000,132152.77
210,pushread5,1000000,132159.11
211,pushread5,1000000,132215.75
212,pushread5,1000000,132369.03
213,pushread5,1000000,132200.39
214,pushread5,1000000,132294.75
215,pushread5,1000000,131674.00
216,pushread5,1000000,132493.91
217,pushread5,1000000,131552.75
218,pushread5,1000000,132187.70
219,pushread5,1000000,132303.22
220,pushread5,1000000,132194.05
221,pushread5,1000000,132126.31
222,pushread5,1000000,132454.56
223,pushread5,1000000,132039.08
224,pushread5,1000000,132224.78
225,pushread5,1000000,131702.36
226,pushread5,1000000,132235.36
227,pushread5,1000000,132036.97
228,pushread5,1000000,132364.80
229,pushread5,1000000,132511.47
230,pushread5,1000000,132353.62
231,pushread5,1000000,132189.83
232,pushread5,1000000,132270.34
233,pushread5,1000000,132048.06
234,pushread5,1000000,132100.39
235,pushread5,1000000,131978.36
236,pushread5,1000000,131960.94
237,pushread5,1000000,132526.91
238,pushread5,1000000,132069.73
239,pushread5,1000000,132456.69
240,pushread5,1000000,130787.34
241,pushread5,1000000,132693.64
242,pushread5,1000000,132312.25
243,pushread5,1000000,132647.83
244,pushread5,1000000,132316.48
245,pushread5,1000000,132137.42
246,pushread5,1000000,131912.94
247,pushread5,1000000,132460.92
248,pushread5,1000000,132371.14
249,pushread5,1000000,132196.17
250,pushread5,1000000,132157.00
251,pushread5,1000000,132257.64
252,pushread5,1000000,132427.97
253,pushread5,1000000,132294.75
254,pushread5,1000000,132312.25
255,pushread5,1000000,127724.14
256,pushread5,1000000,132520.55
257,pushread5,1000000,132472.12
258,pushread5,1000000,132775.36
259,pushread5,1000000,132908.03
260,pushread5,1000000,132423.73
261,pushread5,1000000,132505.11
262,pushread5,1000000,132279.36
263,pushread5,1000000,132775.36
264,pushread5,1000000,132832.52
265,pushread5,1000000,132314.38
266,pushread5,1000000,132347.27
267,pushread5,1000000,132281.48
268,pushread5,1000000,132104.62
269,pushread5,1000000,132301.09
270,pushread5,1000000,131873.92
271,pushread5,1000000,131984.69
272,pushread5,1000000,132292.62
273,pushread5,1000000,132187.70
274,pushread5,1000000,132382.31
275,pushread5,1000000,132161.23
276,pushread5,1000000,132612.66
277,pushread5,1000000,132731.62
278,pushread5,1000000,131880.25
279,pushread5,1000000,131858.64
280,pushread5,1000000,132023.77
281,pushread5,1000000,132100.39
282,pushread5,1000000,132209.41
283,pushread5,1000000,132737.98
284,pushread5,1000000,131787.03
285,pushread5,1000000,132073.95
286,pushread5,1000000,132449.73
287,pushread5,1000000,132590.83
288,pushread5,1000000,132187.70
289,pushread5,1000000,132619.02
290,pushread5,1000000,132592.95
291,pushread5,1000000,132329.75
292,pushread5,1000000,131856.53
293,pushread5,1000000,132176.58
294,pushread5,1000000,132222.11
295,pushread5,1000000,132275.14
296,pushread5,1000000,126554.29
297,pushread5,1000000,132222.66
298,pushread5,1000000,132485.42
299,pushread5,1000000,132687.27
300,pushread5,1000000,132257.64
301,pushread5,1000000,132366.91
302,pushread5,1000000,132590.83
303,pushread5,1000000,132742.23
304,pushread5,1000000,132661.19
305,pushread5,1000000,128104.52
306,pushread5,1000000,132821.89
307,pushread5,1000000,132173.92
308,pushread5,1000000,132592.95
309,pushread5,1000000,132351.50
310,pushread5,1000000,132927.16
311,pushread5,1000000,132310.14
312,pushread5,1000000,132460.92
313,pushread5,1000000,132608.41
314,pushread5,1000000,132711.25
315,pushread5,1000000,132716.12
316,pushread5,1000000,132377.50
317,pushread5,1000000,132320.72
318,pushread5,1000000,132399.84
319,pushread5,1000000,132524.78
320,pushread5,1000000,132640.84
321,pushread5,1000000,132441.27
322,pushread5,1000000,132667.55
323,pushread5,1000000,132643.59
324,pushread5,1000000,132450.33
325,pushread5,1000000,132768.98
326,pushread5,1000000,133022.61
327,pushread5,1000000,132685.16
328,pushread5,1000000,132574.77
329,pushread5,1000000,132349.39
330,pushread5,1000000,132349.39
331,pushread5,1000000,132511.47
332,pushread5,1000000,132749.23
333,pushread5,1000000,132709.14
334,pushread5,1000000,132610.53
335,pushread5,1000000,132671.80
336,pushread5,1000000,132592.95
337,pushread5,1000000,132472.12
338,pushread5,1000000,132550.83
339,pushread5,1000000,132432.78
340,pushread5,1000000,132927.83
341,pushread5,1000000,132562.03
342,pushread5,1000000,133111.14
343,pushread5,1000000,132583.84
344,pushread5,1000000,132683.03
345,pushread5,1000000,132590.83
346,pushread5,1000000,132980.84
347,pushread5,1000000,132456.69
348,pushread5,1000000,132821.89
349,pushread5,1000000,132555.67
350,pushread5,1000000,132509.34
351,pushread5,1000000,132632.36
352,pushread5,1000000,132502.98
353,pushread5,1000000,132482.72
354,pushread5,1000000,132881.22
355,pushread5,1000000,132698.52
356,pushread5,1000000,132509.34
357,pushread5,1000000,132434.91
358,pushread5,1000000,132843.78
359,pushread5,1000000,131667.69
360,pushread5,1000000,132716.12
361,pushread5,1000000,132318.59
362,pushread5,1000000,132485.42
363,pushread5,1000000,132695.77
364,pushread5,1000000,132612.66
365,pushread5,1000000,132189.83
366,pushread5,1000000,132610.53
367,pushread5,1000000,132351.50
368,pushread5,1000000,132788.73
369,pushread5,1000000,132643.59
370,pushread5,1000000,132961.05
371,pushread5,1000000,132380.20
372,pushread5,1000000,132731.62
373,pushread5,1000000,132943.38
374,pushread5,1000000,132399.84
375,pushread5,1000000,132404.08
376,pushread5,1000000,132487.55
377,pushread5,1000000,132505.11
378,pushread5,1000000,132564.16
379,pushread5,1000000,132819.77
380,pushread5,1000000,132137.42
381,pushread5,1000000,131963.05
382,pushread5,1000000,132263.98
383,pushread5,1000000,132643.59
384,pushread5,1000000,132581.73
385,pushread5,1000000,132447.62
386,pushread5,1000000,133264.39
387,pushread5,1000000,132814.88
388,pushread5,1000000,132718.25
389,pushread5,1000000,132347.27
390,pushread5,1000000,132454.56
391,pushread5,1000000,132544.47
392,pushread5,1000000,132802.12
393,pushread5,1000000,132663.30
394,pushread5,1000000,132432.20
395,pushread5,1000000,132771.11
396,pushread5,1000000,132417.38
397,pushread5,1000000,132751.36
398,pushread5,1000000,132643.59
399,pushread5,1000000,132843.78
400,pushread5,1000000,132172.34
401,pushread5,1000000,132362.67
402,pushread5,1000000,132628.12
403,pushread5,1000000,132502.98
404,pushread5,1000000,132785.98
405,pushread5,1000000,132198.28
406,pushread5,1000000,132559.91
407,pushread5,1000000,132680.91
408,pushread5,1000000,132700.64
409,pushread5,1000000,128915.82
410,pushread5,1000000,132392.91
411,pushread5,1000000,131801.80
412,pushread5,1000000,131682.91
413,pushread5,1000000,131563.75
414,pushread5,1000000,132176.58
415,pushread5,1000000,131826.00
416,pushread5,1000000,132021.66
417,pushread5,1000000,131583.16
418,pushread5,1000000,132233.23
419,pushread5,1000000,131769.66
420,pushread5,1000000,132159.11
421,pushread5,1000000,131754.41
422,pushread5,1000000,131949.86
423,pushread5,1000000,129153.04
