trial,operation,requests,rps
1,lpush5,1000000,583202.31
1,lrange5,1000000,1259546.50
2,lpush5,1000000,825161.69
2,lrange5,1000000,830604.62
3,lpush5,1000000,512057.38
3,lrange5,1000000,941905.81
4,lpush5,1000000,821241.31
4,lrange5,1000000,1247042.38
5,lpush5,1000000,817870.75
5,lrange5,1000000,1264263.00
6,lpush5,1000000,825254.12
6,lrange5,1000000,1193317.38
7,lpush5,1000000,826459.50
7,lrange5,1000000,1264283.12
8,lpush5,1000000,645660.44
8,lrange5,1000000,998020.00
9,lpush5,1000000,825803.50
9,lrange5,1000000,1259566.75
10,lpush5,1000000,823736.44
10,lrange5,1000000,1233124.50
