trial,operation,requests,rps
1,lpush5,1000000,575447.62
1,lrange5,1000000,828500.38
2,lpush5,1000000,584528.38
2,lrange5,1000000,1261094.62
3,lpush5,1000000,823045.25
3,lrange5,1000000,1222552.50
4,lpush5,1000000,830644.50
4,lrange5,1000000,1254805.50
5,lpush5,1000000,836321.06
5,lrange5,1000000,1278956.50
6,lpush5,1000000,826618.12
6,lrange5,1000000,1283697.12
7,lpush5,1000000,832652.81
7,lrange5,1000000,1177856.38
8,lpush5,1000000,827341.62
8,lrange5,1000000,1239197.00
9,lpush5,1000000,827143.12
9,lrange5,1000000,1261114.75
10,lpush5,1000000,834965.00
10,lrange5,1000000,1288701.00
11,lpush5,1000000,836873.62
11,lrange5,1000000,1242255.88
12,lpush5,1000000,825948.81
12,lrange5,1000000,1190876.25
13,lpush5,1000000,838410.75
13,lrange5,1000000,1186581.25
14,lpush5,1000000,825108.88
14,lrange5,1000000,1228501.25
15,lpush5,1000000,823255.94
15,lrange5,1000000,1199251.75
16,lpush5,1000000,831468.06
16,lrange5,1000000,1237623.75
17,lpush5,1000000,838979.81
17,lrange5,1000000,1208096.62
18,lpush5,1000000,822605.31
18,lrange5,1000000,1274068.75
19,lpush5,1000000,833466.62
19,lrange5,1000000,1240694.75
20,lpush5,1000000,835475.31
20,lrange5,1000000,1267447.50
21,lpush5,1000000,820541.44
21,lrange5,1000000,1197930.62
22,lpush5,1000000,828513.69
22,lrange5,1000000,1272508.88
23,lpush5,1000000,829306.81
23,lrange5,1000000,1197911.38
24,lpush5,1000000,833413.31
24,lrange5,1000000,1231684.75
25,lpush5,1000000,833399.94
25,lrange5,1000000,1230032.00
26,lpush5,1000000,830617.94
26,lrange5,1000000,1280491.62
27,lpush5,1000000,830048.12
27,lrange5,1000000,1245529.25
28,lpush5,1000000,823907.75
28,lrange5,1000000,1297037.62
29,lpush5,1000000,827986.81
29,lrange5,1000000,1295399.00
30,lpush5,1000000,828513.69
30,lrange5,1000000,1295461.12
31,lpush5,1000000,813151.19
31,lrange5,1000000,1254926.00
32,lpush5,1000000,825869.56
32,lrange5,1000000,1256603.00
33,lpush5,1000000,828553.44
33,lrange5,1000000,1197777.25
34,lpush5,1000000,821018.00
34,lrange5,1000000,1237643.50
35,lpush5,1000000,833493.31
35,lrange5,1000000,1297037.62
36,lpush5,1000000,831308.44
36,lrange5,1000000,1285532.12
37,lpush5,1000000,829981.69
37,lrange5,1000000,1192162.12
38,lpush5,1000000,834148.44
38,lrange5,1000000,1174065.75
39,lpush5,1000000,838451.00
39,lrange5,1000000,1197739.00
40,lpush5,1000000,825135.31
40,lrange5,1000000,1250060.00
41,lpush5,1000000,836120.44
41,lrange5,1000000,1288783.50
42,lpush5,1000000,834737.94
42,lrange5,1000000,1203677.50
43,lpush5,1000000,830048.12
43,lrange5,1000000,1202326.88
44,lpush5,1000000,832719.44
44,lrange5,1000000,1292113.75
45,lpush5,1000000,827827.88
45,lrange5,1000000,1240952.88
46,lpush5,1000000,826459.50
46,lrange5,1000000,1206369.12
47,lpush5,1000000,832000.00
47,lrange5,1000000,1280430.25
48,lpush5,1000000,805346.25
48,lrange5,1000000,1256301.50
49,lpush5,1000000,828632.94
49,lrange5,1000000,1300390.12
50,lpush5,1000000,826472.69
50,lrange5,1000000,1269035.50
51,lpush5,1000000,828712.50
51,lrange5,1000000,1295523.25
52,lpush5,1000000,827288.69
52,lrange5,1000000,1298722.12
53,lpush5,1000000,823907.75
53,lrange5,1000000,1272447.88
54,lpush5,1000000,826578.50
54,lrange5,1000000,1290508.38
55,lpush5,1000000,832692.75
55,lrange5,1000000,1237881.12
56,lpush5,1000000,829240.50
56,lrange5,1000000,1298784.50
57,lpush5,1000000,820344.56
57,lrange5,1000000,1278977.00
58,lpush5,1000000,825188.12
58,lrange5,1000000,1102782.75
59,lpush5,1000000,537686.00
59,lrange5,1000000,1298846.75
60,lpush5,1000000,831414.81
60,lrange5,1000000,1280594.12
61,lpush5,1000000,826538.81
61,lrange5,1000000,1283738.12
62,lpush5,1000000,827262.19
62,lrange5,1000000,1277200.50
63,lpush5,1000000,820462.69
63,lrange5,1000000,1200653.00
64,lpush5,1000000,829227.19
64,lrange5,1000000,1207729.50
