trial,operation,requests,rps
1,lpush5,1000000,536008.56
1,lrange5,1000000,1194896.00
2,lpush5,1000000,830048.12
2,lrange5,1000000,1196229.62
3,lpush5,1000000,824626.50
3,lrange5,1000000,1177988.25
4,lpush5,1000000,824428.62
4,lrange5,1000000,1262808.12
5,lpush5,1000000,832119.81
5,lrange5,1000000,1273946.50
6,lpush5,1000000,823802.31
6,lrange5,1000000,1300452.50
7,lpush5,1000000,827880.81
7,lrange5,1000000,1279140.62
8,lpush5,1000000,830777.44
8,lrange5,1000000,1295399.00
9,lpush5,1000000,829240.50
9,lrange5,1000000,1270810.62
10,lpush5,1000000,827196.06
10,lrange5,1000000,1222513.38
11,lpush5,1000000,835475.31
11,lrange5,1000000,1290322.62
12,lpush5,1000000,829227.19
12,lrange5,1000000,1180977.62
13,lpush5,1000000,827947.06
13,lrange5,1000000,1290446.50
14,lpush5,1000000,829293.56
14,lrange5,1000000,1171128.88
15,lpush5,1000000,822526.31
15,lrange5,1000000,1231684.75
16,lpush5,1000000,815712.94
16,lrange5,1000000,1259647.25
17,lpush5,1000000,830604.62
17,lrange5,1000000,1240853.62
18,lpush5,1000000,831986.69
18,lrange5,1000000,1189269.88
19,lpush5,1000000,821837.31
19,lrange5,1000000,1290384.50
20,lpush5,1000000,816483.25
20,lrange5,1000000,1122370.38
21,lpush5,1000000,514155.25
21,lrange5,1000000,910761.31
22,lpush5,1000000,836120.44
22,lrange5,1000000,1176734.12
23,lpush5,1000000,820370.81
23,lrange5,1000000,1265883.50
24,lpush5,1000000,827933.81
24,lrange5,1000000,814995.94
25,lpush5,1000000,744142.88
25,lrange5,1000000,1288804.12
26,lpush5,1000000,837047.69
26,lrange5,1000000,1245369.88
27,lpush5,1000000,836873.62
27,lrange5,1000000,1204838.62
28,lpush5,1000000,823789.12
28,lrange5,1000000,1292237.75
29,lpush5,1000000,838249.81
29,lrange5,1000000,1231645.38
30,lpush5,1000000,838939.56
30,lrange5,1000000,1243781.12
31,lpush5,1000000,829915.31
31,lrange5,1000000,1272264.62
32,lpush5,1000000,824402.25
32,lrange5,1000000,1282092.38
33,lpush5,1000000,829941.88
33,lrange5,1000000,1274089.12
34,lpush5,1000000,832013.31
34,lrange5,1000000,1196401.88
35,lpush5,1000000,835435.25
35,lrange5,1000000,1272488.50
36,lpush5,1000000,825174.94
36,lrange5,1000000,1240873.50
37,lpush5,1000000,832692.75
37,lrange5,1000000,1264283.12
38,lpush5,1000000,835421.88
38,lrange5,1000000,1283717.62
39,lpush5,1000000,823828.69
39,lrange5,1000000,1275510.25
40,lpush5,1000000,838410.75
40,lrange5,1000000,1290508.38
41,lpush5,1000000,830764.12
41,lrange5,1000000,1282194.88
42,lpush5,1000000,831960.06
42,lrange5,1000000,1290384.50
43,lpush5,1000000,830697.69
43,lrange5,1000000,1285347.00
44,lpush5,1000000,829386.44
44,lrange5,1000000,1290446.50
45,lpush5,1000000,828013.31
45,lrange5,1000000,1196382.75
46,lpush5,1000000,821916.19
46,lrange5,1000000,1262888.88
47,lpush5,1000000,838437.56
47,lrange5,1000000,1264404.50
48,lpush5,1000000,825095.69
48,lrange5,1000000,1280491.62
49,lpush5,1000000,827182.81
49,lrange5,1000000,1285388.12
50,lpush5,1000000,827341.62
50,lrange5,1000000,1171128.88
51,lpush5,1000000,825948.81
51,lrange5,1000000,1285347.00
52,lpush5,1000000,829293.56
52,lrange5,1000000,1270648.00
53,lpush5,1000000,836833.44
53,lrange5,1000000,1293661.00
54,lpush5,1000000,831454.75
54,lrange5,1000000,1200864.38
55,lpush5,1000000,822460.56
55,lrange5,1000000,1194743.12
