trial,operation,requests,rps
1,lpush5,1000000,541833.19
1,lrange5,1000000,1224029.38
2,lpush5,1000000,835528.81
2,lrange5,1000000,1272264.62
3,lpush5,1000000,830657.81
3,lrange5,1000000,1277323.12
4,lpush5,1000000,733149.56
4,lrange5,1000000,1280553.12
5,lpush5,1000000,836967.31
5,lrange5,1000000,1209189.75
6,lpush5,1000000,826552.06
6,lrange5,1000000,1253233.12
7,lpush5,1000000,840443.69
7,lrange5,1000000,1242236.00
8,lpush5,1000000,828606.44
8,lrange5,1000000,1237683.12
9,lpush5,1000000,838276.62
9,lrange5,1000000,1275612.25
10,lpush5,1000000,840510.88
10,lrange5,1000000,1196325.38
11,lpush5,1000000,835448.62
11,lrange5,1000000,1236212.62
12,lpush5,1000000,844702.69
12,lrange5,1000000,1096649.12
13,lpush5,1000000,845308.56
13,lrange5,1000000,1295336.75
14,lpush5,1000000,847471.25
14,lrange5,1000000,1280409.75
15,lpush5,1000000,836307.69
15,lrange5,1000000,1278956.50
16,lpush5,1000000,836187.31
16,lrange5,1000000,1199482.00
17,lpush5,1000000,841764.31
17,lrange5,1000000,1273946.50
18,lpush5,1000000,845416.75
18,lrange5,1000000,1285367.62
19,lpush5,1000000,837520.94
19,lrange5,1000000,1278956.50
20,lpush5,1000000,827249.00
20,lrange5,1000000,1257861.62
21,lpush5,1000000,842513.88
21,lrange5,1000000,1216642.25
22,lpush5,1000000,837695.12
22,lrange5,1000000,1285367.62
23,lpush5,1000000,832706.12
23,lrange5,1000000,1280491.62
24,lpush5,1000000,834871.50
24,lrange5,1000000,846159.00
25,lpush5,1000000,525052.00
25,lrange5,1000000,1014231.25
26,lpush5,1000000,838383.94
26,lrange5,1000000,1228579.88
27,lpush5,1000000,828500.38
27,lrange5,1000000,1293661.00
28,lpush5,1000000,831494.62
28,lrange5,1000000,1288659.75
29,lpush5,1000000,829373.12
29,lrange5,1000000,1293868.00
30,lpush5,1000000,832639.50
30,lrange5,1000000,1283717.62
31,lpush5,1000000,830034.81
31,lrange5,1000000,1283881.88
32,lpush5,1000000,830617.94
32,lrange5,1000000,1148454.62
33,lpush5,1000000,832692.75
33,lrange5,1000000,1194972.50
34,lpush5,1000000,837520.94
34,lrange5,1000000,1300660.62
35,lpush5,1000000,843210.81
35,lrange5,1000000,1270831.00
36,lpush5,1000000,834791.38
36,lrange5,1000000,1297203.62
37,lpush5,1000000,833346.62
37,lrange5,1000000,1196535.88
38,lpush5,1000000,835488.69
38,lrange5,1000000,1293702.50
39,lpush5,1000000,834858.12
39,lrange5,1000000,1280450.62
40,lpush5,1000000,834778.00
40,lrange5,1000000,1258022.62
41,lpush5,1000000,842500.38
41,lrange5,1000000,1283738.12
42,lpush5,1000000,841164.00
42,lrange5,1000000,1180939.75
43,lpush5,1000000,832652.81
43,lrange5,1000000,1196555.00
44,lpush5,1000000,846929.75
44,lrange5,1000000,1258083.00
45,lpush5,1000000,830671.12
45,lrange5,1000000,1292072.38
46,lpush5,1000000,837561.12
46,lrange5,1000000,942672.94
47,lpush5,1000000,745724.12
47,lrange5,1000000,1199175.12
48,lpush5,1000000,831281.81
48,lrange5,1000000,1269076.12
49,lpush5,1000000,834108.44
49,lrange5,1000000,1197758.12
50,lpush5,1000000,834938.25
50,lrange5,1000000,1287063.00
51,lpush5,1000000,824613.31
51,lrange5,1000000,1298784.50
52,lpush5,1000000,839100.62
52,lrange5,1000000,1297099.88
53,lpush5,1000000,842581.25
53,lrange5,1000000,1297141.38
54,lpush5,1000000,839046.94
54,lrange5,1000000,1285367.62
55,lpush5,1000000,834751.31
55,lrange5,1000000,825843.12
56,lpush5,1000000,519530.41
56,lrange5,1000000,857021.38
57,lpush5,1000000,833493.31
57,lrange5,1000000,1256341.75
58,lpush5,1000000,839805.19
58,lrange5,1000000,1182279.00
59,lpush5,1000000,834055.06
59,lrange5,1000000,1291989.62
60,lpush5,1000000,840349.56
60,lrange5,1000000,1193393.75
61,lpush5,1000000,836280.94
61,lrange5,1000000,1131221.75
62,lpush5,1000000,840564.69
62,lrange5,1000000,1269076.12
63,lpush5,1000000,843386.19
63,lrange5,1000000,1292093.00
64,lpush5,1000000,835462.00
64,lrange5,1000000,1185004.75
65,lpush5,1000000,838290.06
65,lrange5,1000000,1234666.62
66,lpush5,1000000,843935.88
66,lrange5,1000000,1288804.12
67,lpush5,1000000,833439.94
67,lrange5,1000000,1194800.50
68,lpush5,1000000,836860.19
68,lrange5,1000000,1283738.12
69,lpush5,1000000,846104.88
69,lrange5,1000000,1275551.00
70,lpush5,1000000,838926.12
70,lrange5,1000000,1196574.12
71,lpush5,1000000,840336.12
71,lrange5,1000000,1239216.88
72,lpush5,1000000,838276.62
72,lrange5,1000000,973725.44
73,lpush5,1000000,731017.50
73,lrange5,1000000,1295440.38
74,lpush5,1000000,830657.81
74,lrange5,1000000,1280430.25
75,lpush5,1000000,835502.06
75,lrange5,1000000,1278792.88
76,lpush5,1000000,832000.00
76,lrange5,1000000,1285347.00
77,lpush5,1000000,838926.12
77,lrange5,1000000,1293743.88
78,lpush5,1000000,836927.19
78,lrange5,1000000,1283738.12
79,lpush5,1000000,837681.75
79,lrange5,1000000,1251564.38
80,lpush5,1000000,828672.75
80,lrange5,1000000,1297016.88
81,lpush5,1000000,834081.75
81,lrange5,1000000,1290425.88
82,lpush5,1000000,846118.44
82,lrange5,1000000,1240694.75
83,lpush5,1000000,832746.06
83,lrange5,1000000,1287207.25
84,lpush5,1000000,837601.31
84,lrange5,1000000,1304031.25
85,lpush5,1000000,841083.25
85,lrange5,1000000,1298784.50
86,lpush5,1000000,839805.19
86,lrange5,1000000,1253152.88
87,lpush5,1000000,833359.94
87,lrange5,1000000,1203388.75
88,lpush5,1000000,834081.75
88,lrange5,1000000,1180788.62
89,lpush5,1000000,844124.94
89,lrange5,1000000,1285470.50
90,lpush5,1000000,839657.44
90,lrange5,1000000,1300390.12
91,lpush5,1000000,837534.31
91,lrange5,1000000,1283779.25
92,lpush5,1000000,836160.56
92,lrange5,1000000,1203639.00
93,lpush5,1000000,829267.00
93,lrange5,1000000,1302083.38
94,lpush5,1000000,835435.25
94,lrange5,1000000,1290322.62
95,lpush5,1000000,841912.50
95,lrange5,1000000,1262666.62
96,lpush5,1000000,840484.00
96,lrange5,1000000,1196440.12
97,lpush5,1000000,837534.31
97,lrange5,1000000,1302104.12
98,lpush5,1000000,832812.69
98,lrange5,1000000,1196210.50
99,lpush5,1000000,834081.75
99,lrange5,1000000,1200691.50
100,lpush5,1000000,836887.00
100,lrange5,1000000,1295378.25
101,lpush5,1000000,836280.94
101,lrange5,1000000,1300452.50
102,lpush5,1000000,837628.12
102,lrange5,1000000,1300473.38
103,lpush5,1000000,834201.81
103,lrange5,1000000,1269096.50
104,lpush5,1000000,833559.94
104,lrange5,1000000,819013.94
105,lpush5,1000000,596302.88
105,lrange5,1000000,1246942.62
106,lpush5,1000000,836913.75
106,lrange5,1000000,1265843.00
107,lpush5,1000000,832879.31
107,lrange5,1000000,1290425.88
108,lpush5,1000000,831946.75
108,lrange5,1000000,1179566.00
109,lpush5,1000000,825108.88
109,lrange5,1000000,1073030.12
110,lpush5,1000000,841845.12
110,lrange5,1000000,1186562.25
111,lpush5,1000000,830644.50
111,lrange5,1000000,1300577.38
112,lpush5,1000000,841177.44
112,lrange5,1000000,1248559.25
113,lpush5,1000000,841042.88
113,lrange5,1000000,1259586.88
114,lpush5,1000000,835475.31
114,lrange5,1000000,1259808.50
115,lpush5,1000000,839778.38
115,lrange5,1000000,1192257.50
116,lpush5,1000000,830061.38
116,lrange5,1000000,1199271.00
117,lpush5,1000000,834121.75
117,lrange5,1000000,1283758.75
118,lpush5,1000000,838926.12
118,lrange5,1000000,1247082.38
119,lpush5,1000000,830737.56
119,lrange5,1000000,1236252.12
120,lpush5,1000000,839100.62
120,lrange5,1000000,1201942.25
121,lpush5,1000000,827301.94
121,lrange5,1000000,1283861.38
122,lpush5,1000000,834148.44
122,lrange5,1000000,1219629.25
123,lpush5,1000000,833466.62
123,lrange5,1000000,1259647.25
124,lpush5,1000000,836833.44
124,lrange5,1000000,1295399.00
125,lpush5,1000000,834831.44
125,lrange5,1000000,1288824.75
126,lpush5,1000000,831960.06
126,lrange5,1000000,1298826.00
127,lpush5,1000000,827894.06
127,lrange5,1000000,1291989.62
128,lpush5,1000000,830710.94
128,lrange5,1000000,1261114.75
129,lpush5,1000000,836846.81
129,lrange5,1000000,1307398.75
130,lpush5,1000000,843949.44
130,lrange5,1000000,1203388.75
131,lpush5,1000000,839738.06
131,lrange5,1000000,1190533.38
132,lpush5,1000000,833479.94
132,lrange5,1000000,1298909.12
133,lpush5,1000000,833399.94
133,lrange5,1000000,1200787.50
134,lpush5,1000000,830564.81
134,lrange5,1000000,1248439.50
135,lpush5,1000000,829253.75
135,lrange5,1000000,1189193.75
136,lpush5,1000000,836873.62
136,lrange5,1000000,1192162.12
137,lpush5,1000000,838966.44
137,lrange5,1000000,1195010.75
138,lpush5,1000000,834737.94
138,lrange5,1000000,1257881.75
139,lpush5,1000000,832679.44
139,lrange5,1000000,1196306.12
140,lpush5,1000000,841831.69
140,lrange5,1000000,1282174.38
141,lpush5,1000000,843224.31
141,lrange5,1000000,1297203.62
142,lpush5,1000000,829227.19
142,lrange5,1000000,1285491.00
143,lpush5,1000000,834095.06
143,lrange5,1000000,1297245.12
144,lpush5,1000000,836873.62
144,lrange5,1000000,1302270.88
145,lpush5,1000000,836927.19
145,lrange5,1000000,1191971.38
146,lpush5,1000000,840376.44
146,lrange5,1000000,1189346.00
147,lpush5,1000000,839087.25
147,lrange5,1000000,1282112.88
148,lpush5,1000000,831361.62
148,lrange5,1000000,1292093.00
149,lpush5,1000000,837520.94
149,lrange5,1000000,1270688.75
150,lpush5,1000000,841069.81
150,lrange5,1000000,1246902.75
151,lpush5,1000000,845308.56
151,lrange5,1000000,1275591.88
152,lpush5,1000000,841190.94
152,lrange5,1000000,1197624.00
153,lpush5,1000000,835421.88
153,lrange5,1000000,1302229.12
154,lpush5,1000000,838993.25
154,lrange5,1000000,1196382.75
155,lpush5,1000000,834161.81
155,lrange5,1000000,1277180.12
156,lpush5,1000000,835435.25
156,lrange5,1000000,1293764.50
157,lpush5,1000000,846848.44
157,lrange5,1000000,1298742.88
158,lpush5,1000000,838343.69
158,lrange5,1000000,1259627.12
159,lpush5,1000000,837534.31
159,lrange5,1000000,1067270.00
160,lpush5,1000000,842459.94
160,lrange5,1000000,1295399.00
161,lpush5,1000000,844743.25
161,lrange5,1000000,1303780.88
162,lpush5,1000000,841750.88
162,lrange5,1000000,1265843.00
163,lpush5,1000000,844648.62
163,lrange5,1000000,1305545.75
164,lpush5,1000000,838303.44
164,lrange5,1000000,1302104.12
165,lpush5,1000000,837534.31
165,lrange5,1000000,1307273.25
166,lpush5,1000000,842513.88
166,lrange5,1000000,1302208.38
167,lpush5,1000000,843224.31
167,lrange5,1000000,1307377.75
168,lpush5,1000000,847620.38
168,lrange5,1000000,1307210.50
169,lpush5,1000000,834778.00
169,lrange5,1000000,1274028.00
170,lpush5,1000000,838464.38
170,lrange5,1000000,1293702.50
171,lpush5,1000000,836120.44
171,lrange5,1000000,1288659.75
172,lpush5,1000000,840551.25
172,lrange5,1000000,1307315.00
173,lpush5,1000000,838410.75
173,lrange5,1000000,1302083.38
174,lpush5,1000000,835435.25
174,lrange5,1000000,1305671.12
175,lpush5,1000000,845430.31
175,lrange5,1000000,1283697.12
176,lpush5,1000000,838993.25
176,lrange5,1000000,1242315.50
177,lpush5,1000000,834228.50
177,lrange5,1000000,1293702.50
178,lpush5,1000000,832812.69
178,lrange5,1000000,1278915.62
179,lpush5,1000000,836254.19
179,lrange5,1000000,1287207.25
180,lpush5,1000000,834724.56
180,lrange5,1000000,1288742.25
181,lpush5,1000000,844689.19
181,lrange5,1000000,1257861.62
182,lpush5,1000000,837574.56
182,lrange5,1000000,1305608.38
183,lpush5,1000000,839644.00
183,lrange5,1000000,1274028.00
184,lpush5,1000000,838303.44
184,lrange5,1000000,1248479.38
185,lpush5,1000000,836994.12
185,lrange5,1000000,1307273.25
186,lpush5,1000000,835488.69
186,lrange5,1000000,1305712.88
187,lpush5,1000000,835528.81
187,lrange5,1000000,1285347.00
188,lpush5,1000000,831321.75
188,lrange5,1000000,1221040.25
189,lpush5,1000000,839033.56
