trial,operation,requests,rps
1,lpush5,1000000,797473.69
1,lrange5,1000000,1248579.25
2,lpush5,1000000,772846.94
2,lrange5,1000000,1256502.50
3,lpush5,1000000,814358.25
3,lrange5,1000000,1227150.88
4,lpush5,1000000,805165.88
4,lrange5,1000000,1213592.25
5,lpush5,1000000,775218.62
5,lrange5,1000000,1231546.88
6,lpush5,1000000,791177.19
6,lrange5,1000000,1243980.12
7,lpush5,1000000,809742.50
7,lrange5,1000000,1230051.62
8,lpush5,1000000,807231.69
8,lrange5,1000000,1226993.88
9,lpush5,1000000,821149.38
9,lrange5,1000000,1254905.88
10,lpush5,1000000,815752.06
10,lrange5,1000000,1237623.75
11,lpush5,1000000,816993.50
11,lrange5,1000000,1239177.25
12,lpush5,1000000,813734.75
12,lrange5,1000000,1233203.50
13,lpush5,1000000,811068.94
13,lrange5,1000000,1227013.50
14,lpush5,1000000,816391.81
14,lrange5,1000000,1145585.25
15,lpush5,1000000,772859.31
15,lrange5,1000000,1126162.12
16,lpush5,1000000,761687.75
16,lrange5,1000000,1225490.25
17,lpush5,1000000,811094.88
17,lrange5,1000000,1216681.25
18,lpush5,1000000,816339.56
18,lrange5,1000000,1227092.00
19,lpush5,1000000,779498.06
19,lrange5,1000000,1242434.75
20,lpush5,1000000,822368.44
20,lrange5,1000000,1230012.25
21,lpush5,1000000,813838.94
21,lrange5,1000000,1234587.62
22,lpush5,1000000,803302.81
22,lrange5,1000000,1228501.25
23,lpush5,1000000,819158.12
23,lrange5,1000000,1246882.88
24,lpush5,1000000,814345.25
24,lrange5,1000000,1251784.75
25,lpush5,1000000,782023.44
25,lrange5,1000000,1225804.00
26,lpush5,1000000,811714.31
26,lrange5,1000000,1240813.88
27,lpush5,1000000,809074.50
27,lrange5,1000000,1222591.62
28,lpush5,1000000,813812.88
28,lrange5,1000000,1237722.75
29,lpush5,1000000,817085.00
29,lrange5,1000000,1227013.50
30,lpush5,1000000,815686.81
30,lrange5,1000000,1246962.62
31,lpush5,1000000,813799.88
31,lrange5,1000000,1224127.38
32,lpush5,1000000,793676.19
32,lrange5,1000000,1227092.00
33,lpush5,1000000,815113.31
33,lrange5,1000000,1221020.75
34,lpush5,1000000,807767.31
34,lrange5,1000000,1216739.62
35,lpush5,1000000,794976.12
35,lrange5,1000000,1225725.50
36,lpush5,1000000,809729.56
36,lrange5,1000000,1230091.00
37,lpush5,1000000,807754.44
37,lrange5,1000000,1161458.75
38,lpush5,1000000,808472.12
38,lrange5,1000000,1186353.50
39,lpush5,1000000,809716.56
39,lrange5,1000000,1091703.00
40,lpush5,1000000,813734.75
40,lrange5,1000000,1233045.62
41,lpush5,1000000,803897.12
41,lrange5,1000000,1215086.25
42,lpush5,1000000,815074.19
42,lrange5,1000000,1231665.00
43,lpush5,1000000,813669.69
43,lrange5,1000000,1222669.88
44,lpush5,1000000,807192.94
44,lrange5,1000000,1239296.12
45,lpush5,1000000,821031.19
45,lrange5,1000000,1212334.62
46,lpush5,1000000,780068.69
46,lrange5,1000000,1213747.62
47,lpush5,1000000,823789.12
47,lrange5,1000000,1242573.88
48,lpush5,1000000,816417.94
48,lrange5,1000000,1209305.88
49,lpush5,1000000,805879.06
49,lrange5,1000000,1213650.50
50,lpush5,1000000,798288.88
50,lrange5,1000000,1206369.12
51,lpush5,1000000,807922.44
51,lrange5,1000000,1186600.25
52,lpush5,1000000,801346.12
52,lrange5,1000000,1167290.50
53,lpush5,1000000,797512.00
53,lrange5,1000000,1221235.62
54,lpush5,1000000,789404.94
54,lrange5,1000000,1111235.62
55,lpush5,1000000,794306.62
55,lrange5,1000000,1222493.88
56,lpush5,1000000,790602.38
56,lrange5,1000000,1196287.00
57,lpush5,1000000,793650.81
57,lrange5,1000000,1112347.12
58,lpush5,1000000,804505.19
58,lrange5,1000000,1210847.50
59,lpush5,1000000,800704.56
59,lrange5,1000000,1189060.62
60,lpush5,1000000,785596.25
60,lrange5,1000000,1186429.38
61,lpush5,1000000,800691.81
61,lrange5,1000000,1207787.38
62,lpush5,1000000,801307.69
62,lrange5,1000000,1218241.25
63,lpush5,1000000,791778.31
63,lrange5,1000000,1195068.12
64,lpush5,1000000,751963.88
64,lrange5,1000000,1186239.62
65,lpush5,1000000,793777.81
65,lrange5,1000000,1196248.75
66,lpush5,1000000,780131.06
66,lrange5,1000000,1172501.75
67,lpush5,1000000,801294.88
67,lrange5,1000000,1176489.38
68,lpush5,1000000,807115.44
68,lrange5,1000000,1193336.50
69,lpush5,1000000,793148.25
69,lrange5,1000000,1098901.12
70,lpush5,1000000,780056.19
70,lrange5,1000000,1186315.50
71,lpush5,1000000,772797.50
71,lrange5,1000000,1207768.12
72,lpush5,1000000,743494.44
72,lrange5,1000000,1203408.00
73,lpush5,1000000,813099.19
