trial,operation,requests,rps
1,lpush5,1000000,809191.00
1,lrange5,1000000,1243820.88
2,lpush5,1000000,811030.00
2,lrange5,1000000,1225509.88
3,lpush5,1000000,802658.06
3,lrange5,1000000,1227150.88
4,lpush5,1000000,811753.25
4,lrange5,1000000,1207768.12
5,lpush5,1000000,813099.19
5,lrange5,1000000,1212140.62
6,lpush5,1000000,811727.25
6,lrange5,1000000,1236113.75
7,lpush5,1000000,815022.00
7,lrange5,1000000,1207768.12
8,lpush5,1000000,811094.88
8,lrange5,1000000,1213650.50
9,lpush5,1000000,818369.88
9,lrange5,1000000,1222513.38
10,lpush5,1000000,811159.75
10,lrange5,1000000,1203388.75
11,lpush5,1000000,797524.75
11,lrange5,1000000,1254865.75
12,lpush5,1000000,816365.69
12,lrange5,1000000,1234706.12
13,lpush5,1000000,809074.50
13,lrange5,1000000,1247022.50
14,lpush5,1000000,811042.94
14,lrange5,1000000,1224029.38
15,lpush5,1000000,801963.12
15,lrange5,1000000,1225490.25
16,lpush5,1000000,817058.81
16,lrange5,1000000,1240853.62
17,lpush5,1000000,810437.62
17,lrange5,1000000,1187781.50
18,lpush5,1000000,802645.25
18,lrange5,1000000,1219531.75
19,lpush5,1000000,781262.50
19,lrange5,1000000,1218202.25
20,lpush5,1000000,811779.25
20,lrange5,1000000,1233065.38
21,lpush5,1000000,809716.56
21,lrange5,1000000,1246942.62
22,lpush5,1000000,812347.75
22,lrange5,1000000,1240774.25
23,lpush5,1000000,812360.69
23,lrange5,1000000,1230012.25
24,lpush5,1000000,803858.56
24,lrange5,1000000,1228540.50
25,lpush5,1000000,803897.12
25,lrange5,1000000,1251764.62
26,lpush5,1000000,791177.19
26,lrange5,1000000,1189174.75
27,lpush5,1000000,788022.06
27,lrange5,1000000,1175219.75
28,lpush5,1000000,646422.75
28,lrange5,1000000,1194762.25
29,lpush5,1000000,775807.56
29,lrange5,1000000,1207826.12
30,lpush5,1000000,780864.94
30,lrange5,1000000,1174084.50
31,lpush5,1000000,794938.00
31,lrange5,1000000,1240774.25
32,lpush5,1000000,794293.94
32,lrange5,1000000,1240813.88
33,lpush5,1000000,810372.81
33,lrange5,1000000,1197604.88
34,lpush5,1000000,800038.38
34,lrange5,1000000,1218026.88
35,lpush5,1000000,783185.62
35,lrange5,1000000,1250200.00
36,lpush5,1000000,808420.38
36,lrange5,1000000,1202076.88
37,lpush5,1000000,807128.38
37,lrange5,1000000,1245369.88
38,lpush5,1000000,798174.00
38,lrange5,1000000,1169684.12
39,lpush5,1000000,781885.81
39,lrange5,1000000,1046058.62
40,lpush5,1000000,802568.19
40,lrange5,1000000,1180826.50
41,lpush5,1000000,804543.81
41,lrange5,1000000,1193412.88
42,lpush5,1000000,792418.38
42,lrange5,1000000,1243781.12
43,lpush5,1000000,793084.81
43,lrange5,1000000,1168243.00
44,lpush5,1000000,777679.62
44,lrange5,1000000,1199213.50
45,lpush5,1000000,795544.94
45,lrange5,1000000,1193546.50
46,lpush5,1000000,792431.06
46,lrange5,1000000,1234745.62
47,lpush5,1000000,804000.00
47,lrange5,1000000,1210653.75
48,lpush5,1000000,778247.50
48,lrange5,1000000,1153402.50
49,lpush5,1000000,773494.19
49,lrange5,1000000,1185402.88
50,lpush5,1000000,783223.19
50,lrange5,1000000,1222787.25
51,lpush5,1000000,789990.50
51,lrange5,1000000,1210866.88
52,lpush5,1000000,793688.88
52,lrange5,1000000,1189079.62
53,lpush5,1000000,787464.56
53,lrange5,1000000,1197624.00
54,lpush5,1000000,764611.62
54,lrange5,1000000,1202000.00
55,lpush5,1000000,772859.31
55,lrange5,1000000,1190628.62
56,lpush5,1000000,798747.62
56,lrange5,1000000,1231783.25
57,lpush5,1000000,796178.31
57,lrange5,1000000,1206504.25
58,lpush5,1000000,796216.56
58,lrange5,1000000,1187800.50
59,lpush5,1000000,787477.19
59,lrange5,1000000,1178007.12
60,lpush5,1000000,795595.88
60,lrange5,1000000,1224049.00
61,lpush5,1000000,814995.94
61,lrange5,1000000,1194838.75
62,lpush5,1000000,798734.81
62,lrange5,1000000,1173877.88
63,lpush5,1000000,783160.56
63,lrange5,1000000,1204954.25
64,lpush5,1000000,800679.00
64,lrange5,1000000,1166917.12
65,lpush5,1000000,727860.31
65,lrange5,1000000,1205147.00
66,lpush5,1000000,790539.12
66,lrange5,1000000,1184966.88
67,lpush5,1000000,765159.88
67,lrange5,1000000,1160092.88
68,lpush5,1000000,777000.81
68,lrange5,1000000,1225588.25
69,lpush5,1000000,791841.62
69,lrange5,1000000,1207922.75
70,lpush5,1000000,794912.56
70,lrange5,1000000,1165501.25
71,lpush5,1000000,792393.06
71,lrange5,1000000,1199117.50
72,lpush5,1000000,796203.81
72,lrange5,1000000,1196287.00
73,lpush5,1000000,760492.75
73,lrange5,1000000,1173727.75
74,lpush5,1000000,773444.69
74,lrange5,1000000,1137692.88
75,lpush5,1000000,784979.56
75,lrange5,1000000,1118872.50
76,lpush5,1000000,766320.31
76,lrange5,1000000,1154937.62
77,lpush5,1000000,817032.69
77,lrange5,1000000,1262626.25
78,lpush5,1000000,791240.50
78,lrange5,1000000,1197662.25
79,lpush5,1000000,796191.06
79,lrange5,1000000,1250040.00
80,lpush5,1000000,806541.94
80,lrange5,1000000,1202096.12
81,lpush5,1000000,780640.12
81,lrange5,1000000,1200518.62
82,lpush5,1000000,787552.75
82,lrange5,1000000,1177894.00
83,lpush5,1000000,787414.19
83,lrange5,1000000,1132756.50
84,lpush5,1000000,795634.06
84,lrange5,1000000,1218202.25
85,lpush5,1000000,800640.56
85,lrange5,1000000,1201942.25
86,lpush5,1000000,800755.81
86,lrange5,1000000,1222552.50
87,lpush5,1000000,802593.88
87,lrange5,1000000,1183469.75
88,lpush5,1000000,784376.50
88,lrange5,1000000,1191895.12
89,lpush5,1000000,808523.88
89,lrange5,1000000,1212354.00
90,lpush5,1000000,765110.94
90,lrange5,1000000,1193317.38
91,lpush5,1000000,794357.44
91,lrange5,1000000,1233085.12
92,lpush5,1000000,784426.69
92,lrange5,1000000,1197719.75
93,lpush5,1000000,807793.19
93,lrange5,1000000,1246882.88
94,lpush5,1000000,801937.44
94,lrange5,1000000,1236093.88
95,lpush5,1000000,778235.06
95,lrange5,1000000,1131221.75
96,lpush5,1000000,743049.06
96,lrange5,1000000,1256361.75
97,lpush5,1000000,819763.94
97,lrange5,1000000,1258123.25
98,lpush5,1000000,802581.00
98,lrange5,1000000,1262666.62
99,lpush5,1000000,763358.81
99,lrange5,1000000,1119838.75
100,lpush5,1000000,755407.88
100,lrange5,1000000,1127413.75
101,lpush5,1000000,762813.12
101,lrange5,1000000,1156124.88
102,lpush5,1000000,796178.31
