trial,operation,requests,rps
1,lpush5,1000000,832652.81
1,lrange5,1000000,1269076.12
2,lpush5,1000000,813734.75
2,lrange5,1000000,1222650.38
3,lpush5,1000000,803987.19
3,lrange5,1000000,1218182.75
4,lpush5,1000000,790015.75
4,lrange5,1000000,1228560.12
5,lpush5,1000000,807180.00
5,lrange5,1000000,1245330.00
6,lpush5,1000000,788022.06
6,lrange5,1000000,1237643.50
7,lpush5,1000000,813708.75
7,lrange5,1000000,1239335.88
8,lpush5,1000000,807115.44
8,lrange5,1000000,1215319.50
9,lpush5,1000000,803251.38
9,lrange5,1000000,1213631.12
10,lpush5,1000000,805866.19
10,lrange5,1000000,1251644.50
11,lpush5,1000000,813008.12
11,lrange5,1000000,1240714.62
12,lpush5,1000000,777038.12
12,lrange5,1000000,1215086.25
13,lpush5,1000000,801333.31
13,lrange5,1000000,1225529.38
14,lpush5,1000000,793122.88
14,lrange5,1000000,1218085.25
15,lpush5,1000000,810372.81
15,lrange5,1000000,1227131.25
16,lpush5,1000000,799475.56
16,lrange5,1000000,1225529.38
17,lpush5,1000000,814995.94
17,lrange5,1000000,1222493.88
18,lpush5,1000000,796927.50
18,lrange5,1000000,1222611.25
19,lpush5,1000000,791816.31
19,lrange5,1000000,1227072.38
20,lpush5,1000000,807115.44
20,lrange5,1000000,1230209.12
21,lpush5,1000000,811030.00
21,lrange5,1000000,1243840.75
22,lpush5,1000000,800012.81
22,lrange5,1000000,1240972.75
23,lpush5,1000000,801346.12
23,lrange5,1000000,1225725.50
24,lpush5,1000000,794281.19
24,lrange5,1000000,1216700.75
25,lpush5,1000000,799360.50
25,lrange5,1000000,1247022.50
26,lpush5,1000000,805853.31
26,lrange5,1000000,1216778.50
27,lpush5,1000000,797690.62
27,lrange5,1000000,1237663.38
28,lpush5,1000000,789278.62
28,lrange5,1000000,1237643.50
29,lpush5,1000000,803858.56
29,lrange5,1000000,1248539.38
30,lpush5,1000000,799360.50
30,lrange5,1000000,1239157.38
31,lpush5,1000000,807857.81
31,lrange5,1000000,1248579.25
32,lpush5,1000000,818343.69
32,lrange5,1000000,1218221.75
33,lpush5,1000000,802581.00
33,lrange5,1000000,1251784.75
34,lpush5,1000000,801937.44
34,lrange5,1000000,1227013.50
35,lpush5,1000000,807767.31
35,lrange5,1000000,1143058.25
36,lpush5,1000000,801294.88
36,lrange5,1000000,1230150.00
37,lpush5,1000000,813021.12
37,lrange5,1000000,1221235.62
38,lpush5,1000000,803922.88
38,lrange5,1000000,1231743.88
39,lpush5,1000000,808420.38
39,lrange5,1000000,1258002.50
40,lpush5,1000000,812425.69
40,lrange5,1000000,1256321.62
41,lpush5,1000000,811030.00
41,lrange5,1000000,1266086.00
42,lpush5,1000000,786327.06
42,lrange5,1000000,1245449.62
43,lpush5,1000000,794950.69
43,lrange5,1000000,1243880.62
44,lpush5,1000000,807754.44
44,lrange5,1000000,1244059.62
45,lpush5,1000000,813825.88
45,lrange5,1000000,1231527.12
46,lpush5,1000000,817071.94
46,lrange5,1000000,1259445.75
47,lpush5,1000000,813021.12
47,lrange5,1000000,1251884.88
48,lpush5,1000000,815660.69
48,lrange5,1000000,1261235.88
49,lpush5,1000000,823045.25
49,lrange5,1000000,1243960.12
50,lpush5,1000000,803922.88
50,lrange5,1000000,1245330.00
51,lpush5,1000000,807767.31
51,lrange5,1000000,1270668.38
52,lpush5,1000000,796876.50
52,lrange5,1000000,1242573.88
53,lpush5,1000000,801410.25
53,lrange5,1000000,1199060.00
54,lpush5,1000000,807780.25
54,lrange5,1000000,1221079.38
55,lpush5,1000000,800653.38
55,lrange5,1000000,1233065.38
56,lpush5,1000000,819066.38
56,lrange5,1000000,1206369.12
57,lpush5,1000000,800653.38
57,lrange5,1000000,1227092.00
58,lpush5,1000000,793084.81
58,lrange5,1000000,1245389.88
59,lpush5,1000000,807819.06
59,lrange5,1000000,1239236.75
60,lpush5,1000000,808485.06
60,lrange5,1000000,1240714.62
61,lpush5,1000000,813060.12
61,lrange5,1000000,1227013.50
62,lpush5,1000000,812412.69
62,lrange5,1000000,1236212.62
63,lpush5,1000000,812347.75
63,lrange5,1000000,1250180.00
64,lpush5,1000000,812425.69
64,lrange5,1000000,1240694.75
65,lpush5,1000000,807115.44
65,lrange5,1000000,1240694.75
66,lpush5,1000000,809716.56
66,lrange5,1000000,1239177.25
67,lpush5,1000000,802632.38
67,lrange5,1000000,1239197.00
68,lpush5,1000000,800115.19
68,lrange5,1000000,1215066.75
69,lpush5,1000000,809794.31
69,lrange5,1000000,1258163.50
70,lpush5,1000000,809729.56
70,lrange5,1000000,1226993.88
71,lpush5,1000000,811081.88
71,lrange5,1000000,1222846.00
72,lpush5,1000000,807128.38
72,lrange5,1000000,1240833.75
73,lpush5,1000000,801307.69
73,lrange5,1000000,1225509.88
74,lpush5,1000000,810463.56
74,lrange5,1000000,1233164.00
75,lpush5,1000000,809755.44
75,lrange5,1000000,1243781.12
76,lpush5,1000000,809859.12
76,lrange5,1000000,1209363.88
77,lpush5,1000000,792443.75
77,lrange5,1000000,1230209.12
78,lpush5,1000000,808407.44
78,lrange5,1000000,1225705.88
79,lpush5,1000000,793815.88
79,lrange5,1000000,1248579.25
80,lpush5,1000000,776397.50
80,lrange5,1000000,1233164.00
81,lpush5,1000000,804518.06
81,lrange5,1000000,1234706.12
82,lpush5,1000000,820410.19
82,lrange5,1000000,1253433.62
83,lpush5,1000000,812386.69
83,lrange5,1000000,1245589.12
84,lpush5,1000000,771617.31
84,lrange5,1000000,1250140.00
85,lpush5,1000000,801384.62
85,lrange5,1000000,1227013.50
86,lpush5,1000000,815008.94
86,lrange5,1000000,1264263.00
87,lpush5,1000000,822368.44
87,lrange5,1000000,1270668.38
88,lpush5,1000000,821018.00
88,lrange5,1000000,1247022.50
89,lpush5,1000000,811042.94
89,lrange5,1000000,1269076.12
90,lpush5,1000000,813073.19
90,lrange5,1000000,1251664.50
91,lpush5,1000000,798760.38
91,lrange5,1000000,1269076.12
92,lpush5,1000000,804582.44
92,lrange5,1000000,1259445.75
93,lpush5,1000000,810372.81
93,lrange5,1000000,1262646.50
94,lpush5,1000000,811081.88
94,lrange5,1000000,1258123.25
95,lpush5,1000000,798237.81
95,lrange5,1000000,1234706.12
96,lpush5,1000000,803277.12
96,lrange5,1000000,1254725.25
97,lpush5,1000000,816339.56
97,lrange5,1000000,1246902.75
98,lpush5,1000000,819027.06
98,lrange5,1000000,1234607.38
99,lpush5,1000000,814345.25
99,lrange5,1000000,1262848.50
100,lpush5,1000000,814332.19
100,lrange5,1000000,1262686.88
101,lpush5,1000000,807754.44
101,lrange5,1000000,1275591.88
102,lpush5,1000000,819092.56
102,lrange5,1000000,1267427.12
103,lpush5,1000000,821732.12
103,lrange5,1000000,1269279.25
