trial,operation,requests,rps
1,lpush5,1000000,807754.44
1,lrange5,1000000,1168243.00
2,lpush5,1000000,798722.06
2,lrange5,1000000,1216564.38
3,lpush5,1000000,781873.31
3,lrange5,1000000,1175219.75
4,lpush5,1000000,786857.56
4,lrange5,1000000,1175257.38
5,lpush5,1000000,797575.81
5,lrange5,1000000,1204935.00
6,lpush5,1000000,780156.06
6,lrange5,1000000,1213611.62
7,lpush5,1000000,795557.69
7,lrange5,1000000,1216564.38
8,lpush5,1000000,780740.06
8,lrange5,1000000,1162846.50
9,lpush5,1000000,771071.69
9,lrange5,1000000,1190590.50
10,lpush5,1000000,802606.69
10,lrange5,1000000,1169721.62
11,lpush5,1000000,796863.75
11,lrange5,1000000,1165631.75
12,lpush5,1000000,801474.31
12,lrange5,1000000,1131384.62
13,lpush5,1000000,777063.00
13,lrange5,1000000,1215105.75
14,lpush5,1000000,785621.38
14,lrange5,1000000,1201961.50
15,lpush5,1000000,786845.00
15,lrange5,1000000,1176545.88
16,lpush5,1000000,800730.19
16,lrange5,1000000,1207729.50
17,lpush5,1000000,749075.62
17,lrange5,1000000,1178026.00
18,lpush5,1000000,729546.31
18,lrange5,1000000,1209267.25
19,lpush5,1000000,788706.62
19,lrange5,1000000,1193355.62
20,lpush5,1000000,786163.56
20,lrange5,1000000,1202076.88
21,lpush5,1000000,788097.69
21,lrange5,1000000,1196344.50
22,lpush5,1000000,798760.38
22,lrange5,1000000,1171166.38
23,lpush5,1000000,791854.31
23,lrange5,1000000,1197604.88
24,lpush5,1000000,742977.75
24,lrange5,1000000,1215066.75
25,lpush5,1000000,806477.44
25,lrange5,1000000,1218104.75
26,lpush5,1000000,786314.50
26,lrange5,1000000,1216583.88
27,lpush5,1000000,770416.06
27,lrange5,1000000,1205050.62
28,lpush5,1000000,798097.38
28,lrange5,1000000,1209363.88
29,lpush5,1000000,760468.44
29,lrange5,1000000,1218221.75
30,lpush5,1000000,801320.50
30,lrange5,1000000,1210886.25
31,lpush5,1000000,746423.88
31,lrange5,1000000,1197700.62
32,lpush5,1000000,803212.88
32,lrange5,1000000,1202115.38
33,lpush5,1000000,811688.31
33,lrange5,1000000,1200653.00
34,lpush5,1000000,809742.50
34,lrange5,1000000,1189098.62
35,lpush5,1000000,780640.12
35,lrange5,1000000,1202115.38
36,lpush5,1000000,801320.50
36,lrange5,1000000,1203388.75
37,lpush5,1000000,798097.38
37,lrange5,1000000,1194762.25
38,lpush5,1000000,803884.25
38,lrange5,1000000,1192066.75
39,lpush5,1000000,782572.75
39,lrange5,1000000,1206504.25
40,lpush5,1000000,803302.81
40,lrange5,1000000,1194743.12
41,lpush5,1000000,740800.00
