trial,operation,requests,rps
1,lpush5,1000000,833333.31
1,lrange5,1000000,1223990.25
2,lpush5,1000000,805153.00
2,lrange5,1000000,1128776.50
3,lpush5,1000000,814371.31
3,lrange5,1000000,1215125.12
4,lpush5,1000000,813008.12
4,lrange5,1000000,1223990.25
5,lpush5,1000000,803225.69
5,lrange5,1000000,1204877.12
6,lpush5,1000000,790539.12
6,lrange5,1000000,1227092.00
7,lpush5,1000000,813047.12
7,lrange5,1000000,1196306.12
8,lpush5,1000000,819079.50
8,lrange5,1000000,1200595.38
9,lpush5,1000000,801358.94
9,lrange5,1000000,1180750.88
10,lpush5,1000000,817019.62
10,lrange5,1000000,1225568.62
11,lpush5,1000000,826485.94
11,lrange5,1000000,1237663.38
12,lpush5,1000000,819737.69
12,lrange5,1000000,1250080.00
13,lpush5,1000000,818369.88
13,lrange5,1000000,1251604.50
14,lpush5,1000000,824428.62
14,lrange5,1000000,1205031.38
15,lpush5,1000000,830724.25
15,lrange5,1000000,1222533.00
16,lpush5,1000000,823084.75
16,lrange5,1000000,1228560.12
17,lpush5,1000000,823058.44
17,lrange5,1000000,1254785.50
18,lpush5,1000000,818369.88
18,lrange5,1000000,1256361.75
19,lpush5,1000000,821136.25
19,lrange5,1000000,1212237.62
20,lpush5,1000000,813073.19
20,lrange5,1000000,1248439.50
21,lpush5,1000000,823097.94
21,lrange5,1000000,1236291.75
22,lpush5,1000000,799526.75
22,lrange5,1000000,1248719.12
23,lpush5,1000000,828619.69
23,lrange5,1000000,1245429.62
24,lpush5,1000000,824415.44
24,lrange5,1000000,1228501.25
25,lpush5,1000000,811030.00
25,lrange5,1000000,1233164.00
26,lpush5,1000000,825763.88
26,lrange5,1000000,1242474.50
27,lpush5,1000000,814384.31
27,lrange5,1000000,1254725.25
28,lpush5,1000000,827841.12
28,lrange5,1000000,1230130.38
29,lpush5,1000000,822368.44
29,lrange5,1000000,1224166.50
30,lpush5,1000000,810476.50
30,lrange5,1000000,1239256.50
31,lpush5,1000000,823775.94
31,lrange5,1000000,1233302.12
32,lpush5,1000000,821018.00
32,lrange5,1000000,1243940.25
33,lpush5,1000000,819685.25
