trial,operation,requests,rps
1,lpush5,1000000,821031.19
1,lrange5,1000000,1248539.38
2,lpush5,1000000,816993.50
2,lrange5,1000000,1224009.88
3,lpush5,1000000,809113.31
3,lrange5,1000000,1246902.75
4,lpush5,1000000,813138.19
4,lrange5,1000000,1213767.00
5,lpush5,1000000,805204.50
5,lrange5,1000000,1242315.50
6,lpush5,1000000,812438.69
6,lrange5,1000000,1218163.25
7,lpush5,1000000,822486.88
7,lrange5,1000000,1222552.50
8,lpush5,1000000,807180.00
8,lrange5,1000000,1242335.38
9,lpush5,1000000,803858.56
9,lrange5,1000000,1234567.88
10,lpush5,1000000,801937.44
10,lrange5,1000000,1239276.38
11,lpush5,1000000,808485.06
11,lrange5,1000000,1240734.50
12,lpush5,1000000,808472.12
12,lrange5,1000000,1243920.38
13,lpush5,1000000,814332.19
13,lrange5,1000000,1243840.75
14,lpush5,1000000,809061.50
14,lrange5,1000000,1218046.38
15,lpush5,1000000,811081.88
15,lrange5,1000000,1230189.38
16,lpush5,1000000,815817.31
16,lrange5,1000000,1245409.75
17,lpush5,1000000,811042.94
17,lrange5,1000000,1228599.50
18,lpush5,1000000,810528.38
18,lrange5,1000000,1224009.88
19,lpush5,1000000,792405.75
19,lrange5,1000000,1216759.12
20,lpush5,1000000,815712.94
20,lrange5,1000000,1262808.12
21,lpush5,1000000,801963.12
21,lrange5,1000000,1222572.12
22,lpush5,1000000,801988.81
22,lrange5,1000000,1237901.00
23,lpush5,1000000,803277.12
23,lrange5,1000000,1246882.88
24,lpush5,1000000,811133.81
24,lrange5,1000000,1247082.38
25,lpush5,1000000,807257.50
25,lrange5,1000000,1242335.38
26,lpush5,1000000,811042.94
26,lrange5,1000000,1245529.25
27,lpush5,1000000,809755.44
27,lrange5,1000000,1247002.50
28,lpush5,1000000,804621.06
28,lrange5,1000000,1228796.00
29,lpush5,1000000,806464.50
29,lrange5,1000000,1228717.38
30,lpush5,1000000,811688.31
30,lrange5,1000000,1248559.25
31,lpush5,1000000,805827.50
31,lrange5,1000000,1242275.75
32,lpush5,1000000,805866.19
32,lrange5,1000000,1245489.50
33,lpush5,1000000,791253.12
33,lrange5,1000000,1242315.50
34,lpush5,1000000,805866.19
34,lrange5,1000000,1224166.50
35,lpush5,1000000,810372.81
35,lrange5,1000000,1222669.88
36,lpush5,1000000,815035.06
36,lrange5,1000000,1225647.12
37,lpush5,1000000,809716.56
37,lrange5,1000000,1213767.00
38,lpush5,1000000,815660.69
38,lrange5,1000000,1222748.12
39,lpush5,1000000,795001.56
39,lrange5,1000000,1246902.75
40,lpush5,1000000,815686.81
40,lrange5,1000000,1237762.38
41,lpush5,1000000,811727.25
41,lrange5,1000000,1234706.12
42,lpush5,1000000,805904.88
42,lrange5,1000000,1237841.50
43,lpush5,1000000,809229.81
43,lrange5,1000000,1225823.50
44,lpush5,1000000,807767.31
44,lrange5,1000000,1246902.75
45,lpush5,1000000,811120.81
45,lrange5,1000000,1242375.12
46,lpush5,1000000,805801.75
46,lrange5,1000000,1227092.00
47,lpush5,1000000,805866.19
